age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,46.67,47.5,47.5,10.39,-0.63,4.6,34.5,41.5,53.5,58.5,46.66,0.13,35.71,10.97,1.31
19,45.69,46.5,46.5,10.35,-0.61,4.52,33.5,40.5,52.5,57.5,45.68,0.13,35.06,10.63,1.3
20,44.71,45.5,45.5,10.32,-0.59,4.45,32.5,39.5,51.5,56.5,44.69,0.13,34.4,10.31,1.3
21,43.72,44.5,44.5,10.28,-0.57,4.37,31.5,38.5,50.5,55.5,43.71,0.13,33.72,10.0,1.3
22,42.74,43.5,43.5,10.24,-0.55,4.29,30.5,37.5,49.5,54.5,42.73,0.13,33.03,9.71,1.29
23,41.76,42.5,42.5,10.2,-0.52,4.21,29.5,36.5,48.5,53.5,41.75,0.13,32.33,9.43,1.29
24,40.78,41.5,41.5,10.16,-0.5,4.14,28.5,35.5,47.5,52.5,40.77,0.13,31.61,9.17,1.29
25,39.8,40.5,40.5,10.12,-0.48,4.07,27.5,34.5,46.5,51.5,39.79,0.13,30.89,8.92,1.29
26,38.83,39.5,39.5,10.08,-0.45,4.0,26.5,33.5,45.5,50.5,38.81,0.13,30.15,8.67,1.29
27,37.85,38.5,38.5,10.03,-0.43,3.93,25.5,32.5,44.5,49.5,37.84,0.13,29.42,8.43,1.29
28,36.87,37.5,37.5,9.99,-0.4,3.86,24.5,31.5,43.5,48.5,36.86,0.13,28.69,8.18,1.29
29,35.9,36.5,36.5,9.94,-0.38,3.79,23.5,30.5,42.5,47.5,35.89,0.13,27.96,7.94,1.28
30,34.93,35.5,35.5,9.89,-0.35,3.73,22.5,29.5,41.5,46.5,34.91,0.13,27.22,7.7,1.28
31,33.95,34.5,34.5,9.84,-0.33,3.67,21.5,28.5,40.5,45.5,33.94,0.13,26.48,7.47,1.28
32,32.98,33.5,33.5,9.79,-0.3,3.61,20.5,27.5,39.5,44.5,32.97,0.13,25.74,7.24,1.28
33,32.01,32.5,32.5,9.74,-0.28,3.55,19.5,26.5,38.5,43.5,32.0,0.13,25.01,7.0,1.28
34,31.05,31.5,31.5,9.68,-0.25,3.49,18.5,25.5,37.5,42.5,31.03,0.13,24.29,6.76,1.28
35,30.08,30.5,30.5,9.62,-0.22,3.43,17.5,24.5,36.5,41.5,30.07,0.13,23.57,6.51,1.28
36,29.12,29.5,29.5,9.56,-0.19,3.38,16.5,23.5,35.5,40.5,29.11,0.13,22.85,6.27,1.27
37,28.17,28.5,28.5,9.49,-0.16,3.33,15.5,22.5,34.5,39.5,28.15,0.13,22.13,6.04,1.27
38,27.21,27.5,27.5,9.42,-0.12,3.28,14.5,21.5,33.5,38.5,27.2,0.13,21.4,5.81,1.27
39,26.26,26.5,26.5,9.35,-0.09,3.23,14.5,20.5,32.5,38.5,26.25,0.12,20.66,5.6,1.27
40,25.32,25.5,25.5,9.27,-0.06,3.19,13.5,19.5,31.5,37.5,25.3,0.12,19.92,5.4,1.27
41,24.37,24.5,24.5,9.19,-0.02,3.15,12.5,18.5,30.5,36.5,24.36,0.12,19.17,5.21,1.27
42,23.43,23.5,23.5,9.11,0.01,3.12,11.5,17.5,29.5,35.5,23.42,0.12,18.42,5.01,1.27
43,22.5,22.5,22.5,9.01,0.05,3.09,10.5,17.5,28.5,34.5,22.49,0.12,17.69,4.81,1.27
44,21.58,21.5,21.5,8.91,0.09,3.06,9.5,16.5,27.5,33.5,21.57,0.12,16.98,4.6,1.27
45,20.67,20.5,20.5,8.8,0.14,3.04,9.5,15.5,26.5,32.5,20.66,0.12,16.28,4.39,1.27
46,19.77,19.5,19.5,8.68,0.19,3.03,8.5,14.5,25.5,31.5,19.75,0.12,15.59,4.18,1.27
47,18.87,18.5,18.5,8.55,0.24,3.02,7.5,13.5,24.5,30.5,18.86,0.12,14.9,3.97,1.27
48,17.99,17.5,17.5,8.42,0.29,3.02,6.5,12.5,23.5,29.5,17.97,0.12,14.2,3.79,1.27
