age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,39.88,41.5,44.5,13.77,-0.39,3.0,21.5,30.5,49.5,56.5,39.99,0.86,19.55,20.32,2.04
19,38.9,40.5,43.5,13.73,-0.38,2.97,20.5,29.5,48.5,55.5,39.01,0.86,19.2,19.7,2.03
20,37.92,39.5,42.5,13.68,-0.36,2.93,19.5,28.5,47.5,54.5,38.03,0.86,18.85,19.07,2.01
21,36.95,38.5,41.5,13.63,-0.35,2.9,18.5,27.5,46.5,53.5,37.06,0.85,18.5,18.45,2.0
22,35.98,37.5,40.5,13.58,-0.33,2.86,17.5,26.5,45.5,52.5,36.09,0.85,18.15,17.83,1.98
23,35.01,36.5,39.5,13.52,-0.31,2.82,16.5,25.5,44.5,51.5,35.12,0.85,17.8,17.21,1.97
24,34.05,35.5,38.5,13.46,-0.29,2.79,15.5,24.5,43.5,50.5,34.16,0.85,17.46,16.59,1.95
25,33.09,34.5,37.5,13.39,-0.27,2.75,14.5,23.5,42.5,49.5,33.2,0.85,17.11,15.97,1.93
26,32.13,33.5,36.5,13.31,-0.25,2.71,13.5,23.5,41.5,48.5,32.24,0.84,16.77,15.36,1.92
27,31.18,32.5,35.5,13.23,-0.23,2.67,12.5,22.5,40.5,47.5,31.29,0.84,16.43,14.75,1.9
28,30.24,31.5,34.5,13.13,-0.2,2.64,11.5,21.5,39.5,46.5,30.35,0.83,16.1,14.14,1.88
29,29.3,30.5,33.5,13.03,-0.18,2.6,10.5,20.5,38.5,45.5,29.4,0.83,15.76,13.54,1.86
30,28.37,29.5,32.5,12.93,-0.15,2.57,9.5,19.5,37.5,44.5,28.47,0.83,15.43,12.94,1.84
31,27.45,28.5,31.5,12.81,-0.12,2.54,9.5,18.5,36.5,43.5,27.54,0.83,15.09,12.35,1.82
32,26.53,27.5,30.5,12.68,-0.09,2.52,8.5,17.5,35.5,42.5,26.62,0.82,14.76,11.77,1.8
33,25.62,26.5,29.5,12.55,-0.05,2.49,7.5,16.5,34.5,41.5,25.71,0.81,14.42,11.2,1.78
34,24.72,25.5,28.5,12.4,-0.02,2.47,6.5,15.5,33.5,40.5,24.81,0.8,14.08,10.65,1.76
35,23.84,24.5,27.5,12.25,0.01,2.46,6.5,14.5,32.5,39.5,23.93,0.78,13.73,10.11,1.74
36,22.96,23.5,26.5,12.08,0.05,2.45,5.5,13.5,31.5,38.5,23.05,0.77,13.38,9.58,1.72
37,22.1,22.5,25.5,11.91,0.09,2.44,5.5,12.5,30.5,37.5,22.18,0.76,13.04,9.06,1.7
38,21.24,22.5,24.5,11.73,0.13,2.45,4.5,11.5,29.5,36.5,21.32,0.74,12.68,8.56,1.67
