age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,40.52,41.5,41.5,12.12,-0.32,3.09,24.5,32.5,48.5,55.5,40.57,0.64,22.01,18.51,1.84
19,39.54,40.5,40.5,12.1,-0.31,3.06,23.5,31.5,47.5,54.5,39.58,0.64,21.56,17.98,1.83
20,38.55,39.5,39.5,12.07,-0.3,3.02,22.5,30.5,46.5,53.5,38.6,0.64,21.12,17.44,1.83
21,37.57,38.5,38.5,12.04,-0.29,2.99,21.5,29.5,45.5,52.5,37.61,0.64,20.67,16.9,1.82
22,36.59,37.5,37.5,12.01,-0.28,2.96,20.5,28.5,44.5,51.5,36.64,0.64,20.23,16.36,1.81
23,35.61,36.5,36.5,11.97,-0.26,2.92,19.5,27.5,43.5,50.5,35.66,0.64,19.79,15.82,1.8
24,34.63,35.5,35.5,11.93,-0.25,2.89,18.5,26.5,42.5,49.5,34.68,0.64,19.34,15.29,1.79
25,33.66,34.5,34.5,11.89,-0.23,2.85,17.5,25.5,41.5,48.5,33.7,0.64,18.9,14.75,1.78
26,32.68,33.5,33.5,11.85,-0.22,2.82,16.5,24.5,40.5,47.5,32.73,0.64,18.46,14.22,1.77
27,31.71,32.5,32.5,11.8,-0.2,2.78,15.5,23.5,39.5,46.5,31.76,0.64,18.02,13.69,1.76
28,30.74,31.5,31.5,11.75,-0.18,2.74,15.5,23.5,38.5,45.5,30.79,0.64,17.58,13.16,1.75
29,29.78,30.5,30.5,11.69,-0.16,2.71,14.5,22.5,38.5,44.5,29.83,0.64,17.14,12.64,1.74
30,28.82,29.5,29.5,11.63,-0.14,2.67,13.5,21.5,37.5,43.5,28.87,0.63,16.7,12.12,1.73
31,27.86,28.5,28.5,11.56,-0.11,2.63,12.5,20.5,36.5,42.5,27.91,0.63,16.26,11.61,1.71
32,26.91,27.5,27.5,11.48,-0.09,2.6,11.5,19.5,35.5,41.5,26.96,0.63,15.81,11.1,1.7
