age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,44.91,45.5,44.5,13.08,-0.06,3.23,28.5,36.5,53.5,61.5,44.84,0.79,28.21,16.7,1.59
19,43.92,44.5,43.5,13.05,-0.05,3.21,27.5,35.5,52.5,60.5,43.85,0.79,27.68,16.24,1.59
20,42.94,43.5,42.5,13.03,-0.04,3.18,26.5,34.5,51.5,59.5,42.87,0.79,27.15,15.79,1.58
21,41.95,42.5,41.5,13.0,-0.03,3.15,25.5,33.5,50.5,58.5,41.89,0.79,26.61,15.34,1.58
22,40.97,41.5,40.5,12.97,-0.02,3.13,24.5,32.5,49.5,57.5,40.91,0.79,26.07,14.9,1.57
23,39.99,40.5,39.5,12.94,-0.0,3.1,23.5,31.5,48.5,56.5,39.93,0.79,25.53,14.46,1.57
24,39.01,39.5,38.5,12.91,0.01,3.08,22.5,30.5,47.5,55.5,38.95,0.79,24.98,14.03,1.56
25,38.04,38.5,37.5,12.87,0.02,3.05,21.5,29.5,46.5,54.5,37.97,0.79,24.43,13.6,1.56
26,37.06,37.5,36.5,12.84,0.04,3.03,20.5,28.5,45.5,53.5,37.0,0.79,23.87,13.19,1.55
27,36.08,36.5,35.5,12.8,0.05,3.0,19.5,27.5,44.5,52.5,36.02,0.79,23.3,12.78,1.55
28,35.11,35.5,34.5,12.76,0.07,2.98,18.5,26.5,43.5,51.5,35.05,0.78,22.73,12.38,1.54
29,34.14,34.5,33.5,12.72,0.08,2.96,17.5,25.5,42.5,50.5,34.07,0.78,22.14,12.0,1.54
30,33.17,33.5,32.5,12.68,0.1,2.94,16.5,24.5,41.5,49.5,33.1,0.78,21.54,11.63,1.54
31,32.2,32.5,31.5,12.63,0.11,2.92,15.5,23.5,40.5,48.5,32.14,0.78,20.93,11.27,1.54
32,31.24,31.5,30.5,12.58,0.13,2.9,14.5,22.5,39.5,47.5,31.17,0.78,20.31,10.93,1.54
33,30.28,30.5,29.5,12.53,0.15,2.88,13.5,21.5,38.5,46.5,30.21,0.78,19.68,10.6,1.54
34,29.32,29.5,28.5,12.47,0.17,2.86,12.5,20.5,37.5,45.5,29.25,0.78,19.04,10.28,1.54
35,28.36,28.5,27.5,12.41,0.19,2.85,11.5,19.5,36.5,44.5,28.3,0.78,18.4,9.97,1.54
36,27.41,27.5,26.5,12.35,0.21,2.83,10.5,19.5,35.5,43.5,27.34,0.78,17.76,9.66,1.54
37,26.47,26.5,25.5,12.28,0.23,2.82,10.5,18.5,34.5,42.5,26.4,0.77,17.11,9.36,1.55
38,25.53,25.5,24.5,12.2,0.25,2.81,9.5,17.5,33.5,41.5,25.46,0.76,16.48,9.06,1.55
39,24.6,24.5,23.5,12.11,0.28,2.81,8.5,16.5,32.5,40.5,24.53,0.76,15.85,8.76,1.55
40,23.68,23.5,22.5,12.02,0.3,2.81,7.5,15.5,31.5,39.5,23.62,0.75,15.24,8.45,1.55
41,22.78,22.5,21.5,11.91,0.33,2.81,6.5,14.5,30.5,38.5,22.71,0.75,14.66,8.12,1.55
42,21.89,21.5,20.5,11.79,0.37,2.82,6.5,13.5,29.5,37.5,21.82,0.75,14.1,7.79,1.55
43,21.01,20.5,19.5,11.65,0.4,2.83,5.5,12.5,28.5,36.5,20.94,0.73,13.58,7.44,1.55
44,20.16,19.5,18.5,11.49,0.44,2.86,4.5,11.5,27.5,35.5,20.1,0.72,13.08,7.08,1.54
45,19.33,18.5,17.5,11.31,0.48,2.89,4.5,11.5,26.5,34.5,19.27,0.71,12.62,6.71,1.53
46,18.53,17.5,16.5,11.12,0.53,2.93,4.5,10.5,25.5,33.5,18.45,0.69,12.18,6.35,1.52
47,17.74,16.5,15.5,10.91,0.58,2.98,3.5,9.5,24.5,32.5,17.68,0.68,11.76,5.98,1.51
48,16.98,15.5,13.5,10.69,0.63,3.05,3.5,8.5,23.5,31.5,16.91,0.66,11.34,5.63,1.5
49,16.23,14.5,12.5,10.46,0.69,3.12,3.5,8.5,22.5,30.5,16.16,0.66,10.92,5.31,1.49
50,15.49,13.5,11.5,10.23,0.75,3.2,3.5,7.5,21.5,29.5,15.42,0.64,10.49,5.0,1.48
51,14.76,13.5,10.5,10.0,0.8,3.29,2.5,7.5,20.5,28.5,14.69,0.63,10.03,4.73,1.47
52,14.05,12.5,9.5,9.78,0.86,3.39,2.5,6.5,19.5,27.5,13.98,0.62,9.58,4.47,1.47
