age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,44.91,45.5,46.5,10.62,-0.64,4.24,31.5,39.5,51.5,57.5,44.89,0.23,32.1,12.81,1.4
19,43.92,44.5,45.5,10.59,-0.62,4.18,30.5,38.5,50.5,56.5,43.9,0.23,31.4,12.52,1.4
20,42.94,43.5,44.5,10.56,-0.61,4.12,29.5,37.5,49.5,55.5,42.92,0.23,30.71,12.22,1.4
21,41.96,42.5,43.5,10.52,-0.59,4.06,28.5,36.5,48.5,54.5,41.93,0.23,30.04,11.92,1.4
22,40.97,41.5,42.5,10.49,-0.57,4.0,27.5,35.5,47.5,53.5,40.95,0.23,29.37,11.61,1.4
23,39.99,40.5,41.5,10.45,-0.55,3.94,26.5,34.5,46.5,52.5,39.97,0.23,28.71,11.28,1.39
24,39.01,39.5,40.5,10.41,-0.53,3.88,25.5,33.5,45.5,51.5,38.99,0.23,28.06,10.95,1.39
25,38.04,38.5,39.5,10.37,-0.51,3.82,24.5,32.5,44.5,50.5,38.01,0.23,27.42,10.61,1.39
26,37.06,37.5,38.5,10.33,-0.49,3.76,23.5,31.5,43.5,49.5,37.03,0.23,26.79,10.27,1.38
27,36.08,36.5,37.5,10.28,-0.47,3.69,22.5,30.5,42.5,48.5,36.06,0.23,26.16,9.92,1.38
28,35.11,35.5,36.5,10.24,-0.45,3.63,21.5,29.5,41.5,47.5,35.08,0.23,25.54,9.57,1.37
29,34.14,34.5,35.5,10.19,-0.42,3.57,20.5,28.5,40.5,46.5,34.11,0.22,24.92,9.22,1.37
30,33.16,33.5,34.5,10.13,-0.4,3.52,19.5,27.5,39.5,45.5,33.14,0.22,24.3,8.87,1.36
31,32.2,32.5,33.5,10.08,-0.37,3.46,18.5,26.5,38.5,44.5,32.17,0.22,23.68,8.52,1.36
32,31.23,31.5,32.5,10.02,-0.35,3.4,18.5,25.5,37.5,43.5,31.21,0.22,23.06,8.17,1.35
33,30.27,30.5,31.5,9.96,-0.32,3.34,17.5,24.5,36.5,42.5,30.24,0.22,22.45,7.82,1.35
34,29.31,29.5,30.5,9.89,-0.29,3.29,16.5,23.5,35.5,41.5,29.28,0.22,21.83,7.48,1.34
