age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
20,44.65,45.5,45.5,10.67,-0.52,4.19,31.5,38.5,51.5,57.5,44.63,0.25,33.16,11.49,1.35
21,43.67,44.5,44.5,10.64,-0.51,4.13,30.5,38.5,50.5,56.5,43.65,0.25,32.39,11.28,1.35
22,42.69,43.5,43.5,10.6,-0.49,4.07,29.5,37.5,49.5,55.5,42.67,0.25,31.63,11.05,1.35
23,41.71,42.5,42.5,10.56,-0.47,4.0,28.5,36.5,48.5,54.5,41.69,0.25,30.9,10.8,1.35
24,40.73,41.5,41.5,10.52,-0.45,3.94,27.5,35.5,47.5,53.5,40.71,0.25,30.19,10.54,1.35
25,39.75,40.5,40.5,10.48,-0.42,3.88,26.5,34.5,46.5,52.5,39.73,0.25,29.49,10.26,1.35
26,38.77,39.5,39.5,10.44,-0.4,3.81,25.5,33.5,45.5,51.5,38.75,0.25,28.8,9.97,1.35
27,37.79,38.5,38.5,10.4,-0.38,3.75,24.5,32.5,44.5,50.5,37.78,0.24,28.12,9.67,1.34
28,36.82,37.5,37.5,10.35,-0.36,3.69,23.5,31.5,43.5,49.5,36.8,0.25,27.45,9.37,1.34
29,35.84,36.5,36.5,10.31,-0.33,3.63,22.5,30.5,42.5,48.5,35.83,0.24,26.78,9.07,1.34
30,34.87,35.5,35.5,10.26,-0.31,3.57,21.5,29.5,41.5,47.5,34.85,0.25,26.1,8.77,1.34
31,33.9,34.5,34.5,10.21,-0.29,3.52,20.5,28.5,40.5,46.5,33.88,0.25,25.43,8.47,1.33
32,32.93,33.5,33.5,10.16,-0.26,3.47,19.5,27.5,39.5,45.5,32.91,0.25,24.74,8.19,1.33
33,31.96,32.5,32.5,10.11,-0.24,3.41,18.5,26.5,38.5,44.5,31.94,0.25,24.06,7.9,1.33
34,31.0,31.5,31.5,10.05,-0.21,3.36,17.5,25.5,37.5,43.5,30.98,0.25,23.38,7.62,1.33
35,30.03,30.5,30.5,9.99,-0.18,3.31,17.5,24.5,36.5,42.5,30.02,0.24,22.7,7.34,1.32
36,29.07,29.5,29.5,9.93,-0.16,3.26,16.5,23.5,35.5,41.5,29.06,0.24,22.02,7.06,1.32
