age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
21,44.76,44.5,43.5,10.04,-0.58,4.52,32.5,39.5,51.5,56.5,44.75,0.35,35.85,8.91,1.25
22,43.78,43.5,42.5,10.0,-0.56,4.43,31.5,38.5,50.5,55.5,43.77,0.34,35.03,8.75,1.25
23,42.8,42.5,41.5,9.96,-0.53,4.34,30.5,37.5,49.5,54.5,42.79,0.34,34.22,8.58,1.25
24,41.82,41.5,40.5,9.91,-0.51,4.26,29.5,36.5,48.5,53.5,41.81,0.34,33.41,8.41,1.25
25,40.84,40.5,39.5,9.87,-0.48,4.17,28.5,35.5,47.5,52.5,40.83,0.34,32.61,8.23,1.25
26,39.86,39.5,38.5,9.83,-0.46,4.09,28.5,34.5,46.5,51.5,39.86,0.34,31.82,8.04,1.25
27,38.88,38.5,37.5,9.79,-0.43,4.01,27.5,33.5,45.5,50.5,38.88,0.35,31.04,7.85,1.25
28,37.91,37.5,36.5,9.74,-0.41,3.93,26.5,32.5,44.5,49.5,37.9,0.34,30.26,7.65,1.25
29,36.93,36.5,35.5,9.7,-0.38,3.86,25.5,31.5,43.5,48.5,36.93,0.34,29.49,7.44,1.25
30,35.95,36.5,34.5,9.65,-0.35,3.79,24.5,30.5,42.5,47.5,35.95,0.34,28.71,7.24,1.25
31,34.98,35.5,33.5,9.61,-0.33,3.72,23.5,29.5,41.5,46.5,34.98,0.34,27.93,7.05,1.25
32,34.01,34.5,32.5,9.56,-0.3,3.65,22.5,28.5,40.5,45.5,34.01,0.34,27.14,6.86,1.25
33,33.04,33.5,31.5,9.51,-0.28,3.59,21.5,27.5,39.5,44.5,33.03,0.35,26.35,6.69,1.25
34,32.06,32.5,30.5,9.46,-0.25,3.53,20.5,26.5,38.5,43.5,32.06,0.35,25.56,6.51,1.25
35,31.1,31.5,29.5,9.41,-0.22,3.47,19.5,25.5,37.5,42.5,31.09,0.35,24.76,6.33,1.26
36,30.13,30.5,28.5,9.36,-0.2,3.42,18.5,24.5,36.5,41.5,30.13,0.35,23.98,6.15,1.26
37,29.17,29.5,27.5,9.3,-0.17,3.36,17.5,23.5,35.5,40.5,29.16,0.35,23.19,5.97,1.26
