age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
22,44.63,45.5,43.5,9.65,-0.73,4.96,33.5,39.5,50.5,55.5,44.61,0.23,36.67,7.96,1.22
23,43.65,44.5,42.5,9.6,-0.7,4.86,32.5,38.5,49.5,54.5,43.63,0.23,35.75,7.89,1.22
24,42.67,43.5,41.5,9.56,-0.67,4.76,31.5,37.5,48.5,53.5,42.65,0.23,34.85,7.82,1.22
25,41.69,42.5,40.5,9.51,-0.65,4.66,30.5,36.5,47.5,52.5,41.67,0.23,33.95,7.73,1.23
26,40.71,41.5,39.5,9.47,-0.62,4.56,29.5,35.5,46.5,51.5,40.69,0.23,33.07,7.64,1.23
27,39.73,40.5,38.5,9.42,-0.59,4.46,28.5,34.5,45.5,50.5,39.72,0.23,32.21,7.52,1.23
28,38.76,39.5,37.5,9.37,-0.56,4.37,27.5,33.5,44.5,49.5,38.74,0.23,31.37,7.39,1.24
29,37.78,38.5,36.5,9.32,-0.53,4.27,26.5,32.5,43.5,48.5,37.77,0.23,30.54,7.24,1.24
30,36.81,37.5,35.5,9.27,-0.5,4.18,25.5,31.5,42.5,47.5,36.79,0.23,29.73,7.08,1.24
31,35.83,36.5,34.5,9.22,-0.47,4.09,24.5,30.5,41.5,46.5,35.82,0.23,28.93,6.9,1.24
32,34.86,35.5,33.5,9.17,-0.44,3.99,23.5,29.5,40.5,45.5,34.84,0.22,28.15,6.71,1.24
33,33.89,34.5,32.5,9.11,-0.4,3.9,22.5,28.5,39.5,44.5,33.87,0.22,27.38,6.51,1.24
34,32.92,33.5,31.5,9.06,-0.37,3.82,21.5,27.5,38.5,43.5,32.91,0.22,26.61,6.31,1.24
35,31.95,32.5,30.5,9.0,-0.34,3.73,21.5,26.5,37.5,42.5,31.94,0.22,25.85,6.11,1.24
36,30.99,31.5,29.5,8.94,-0.3,3.65,20.5,25.5,36.5,41.5,30.97,0.22,25.08,5.91,1.24
37,30.02,30.5,28.5,8.88,-0.27,3.57,19.5,24.5,35.5,40.5,30.01,0.22,24.31,5.72,1.24
38,29.06,29.5,27.5,8.81,-0.23,3.49,18.5,23.5,34.5,39.5,29.05,0.22,23.52,5.54,1.24
39,28.1,28.5,26.5,8.75,-0.2,3.42,17.5,22.5,33.5,38.5,28.09,0.22,22.74,5.37,1.24
40,27.15,27.5,25.5,8.68,-0.16,3.36,16.5,21.5,32.5,37.5,27.13,0.22,21.94,5.2,1.24
41,26.19,26.5,24.5,8.61,-0.13,3.29,15.5,20.5,31.5,36.5,26.18,0.22,21.15,5.04,1.24
42,25.24,25.5,23.5,8.54,-0.09,3.23,14.5,19.5,30.5,35.5,25.23,0.22,20.35,4.89,1.24
43,24.29,24.5,22.5,8.47,-0.05,3.18,13.5,18.5,29.5,34.5,24.28,0.22,19.56,4.73,1.24
44,23.34,23.5,21.5,8.39,-0.01,3.13,12.5,17.5,28.5,33.5,23.33,0.22,18.76,4.58,1.24
45,22.4,22.5,20.5,8.32,0.02,3.09,11.5,17.5,27.5,32.5,22.39,0.22,17.96,4.44,1.25
46,21.46,21.5,19.5,8.24,0.06,3.05,10.5,16.5,26.5,31.5,21.45,0.22,17.17,4.3,1.25
47,20.53,20.5,18.5,8.15,0.1,3.01,10.5,15.5,25.5,30.5,20.52,0.22,16.37,4.16,1.25
48,19.6,19.5,17.5,8.06,0.14,2.98,9.5,14.5,24.5,29.5,19.59,0.22,15.58,4.02,1.26
49,18.68,18.5,16.5,7.97,0.19,2.96,8.5,13.5,24.5,28.5,18.67,0.22,14.79,3.89,1.26
50,17.77,17.5,15.5,7.87,0.23,2.95,7.5,12.5,23.5,27.5,17.76,0.22,14.01,3.75,1.27
51,16.86,16.5,14.5,7.76,0.28,2.94,6.5,11.5,22.5,26.5,16.86,0.22,13.24,3.62,1.27
52,15.97,15.5,13.5,7.65,0.32,2.94,6.5,10.5,21.5,26.5,15.97,0.22,12.48,3.49,1.28
53,15.09,14.5,12.5,7.53,0.37,2.95,5.5,9.5,20.5,25.5,15.08,0.22,11.73,3.36,1.29
54,14.22,13.5,11.5,7.4,0.42,2.97,4.5,8.5,19.5,24.5,14.21,0.22,11.0,3.22,1.29
55,13.37,12.5,10.5,7.27,0.48,3.0,4.5,7.5,18.5,23.5,13.36,0.22,10.29,3.08,1.3
56,12.53,11.5,9.5,7.12,0.54,3.05,3.5,7.5,17.5,22.5,12.53,0.22,9.6,2.93,1.31
57,11.72,10.5,8.5,6.96,0.6,3.12,3.5,6.5,16.5,21.5,11.71,0.22,8.93,2.79,1.31
58,10.93,10.5,6.5,6.78,0.66,3.2,2.5,5.5,15.5,20.5,10.92,0.22,8.29,2.63,1.32
59,10.16,9.5,5.5,6.6,0.72,3.31,2.5,4.5,14.5,19.5,10.15,0.21,7.69,2.48,1.32
60,9.43,8.5,4.5,6.4,0.8,3.44,1.5,4.5,13.5,18.5,9.42,0.21,7.12,2.31,1.32
61,8.74,7.5,3.5,6.18,0.87,3.6,1.5,3.5,12.5,17.5,8.73,0.21,6.59,2.14,1.33
62,8.08,6.5,1.5,5.94,0.95,3.8,1.5,3.5,11.5,16.5,8.07,0.2,6.11,1.97,1.32
63,7.47,6.5,0.5,5.7,1.04,4.04,1.5,2.5,10.5,15.5,7.46,0.2,5.68,1.79,1.32
64,6.9,5.5,0.5,5.44,1.13,4.33,0.5,2.5,9.5,14.5,6.88,0.19,5.28,1.62,1.31
65,6.36,5.5,0.5,5.18,1.22,4.65,0.5,2.5,9.5,13.5,6.35,0.18,4.91,1.44,1.29
66,5.85,4.5,0.5,4.91,1.32,5.02,0.5,2.5,8.5,12.5,5.84,0.19,4.58,1.28,1.28
67,5.38,4.5,0.5,4.65,1.42,5.44,0.5,1.5,7.5,11.5,5.37,0.2,4.26,1.12,1.26
68,4.95,3.5,0.5,4.39,1.52,5.9,0.5,1.5,6.5,10.5,4.95,0.19,3.97,0.98,1.25
69,4.54,3.5,0.5,4.14,1.63,6.4,0.5,1.5,6.5,10.5,4.55,0.2,3.7,0.85,1.23
70,4.18,3.5,0.5,3.89,1.73,6.94,0.5,1.5,5.5,9.5,4.18,0.21,3.45,0.73,1.21
71,3.84,2.5,0.5,3.65,1.83,7.51,0.5,1.5,5.5,8.5,3.84,0.22,3.22,0.62,1.19
72,3.55,2.5,0.5,3.42,1.92,8.09,0.5,1.5,4.5,7.5,3.54,0.22,3.02,0.53,1.17
73,3.28,2.5,0.5,3.21,2.01,8.67,0.5,0.5,4.5,7.5,3.26,0.21,2.84,0.45,1.16
74,3.05,2.5,0.5,3.0,2.09,9.25,0.5,0.5,4.5,6.5,3.01,0.22,2.67,0.37,1.14
75,2.83,1.5,0.5,2.8,2.16,9.8,0.5,0.5,3.5,6.5,2.79,0.22,2.52,0.31,1.12
76,2.64,1.5,0.5,2.62,2.22,10.31,0.5,0.5,3.5,5.5,2.64,0.23,2.38,0.26,1.11
77,2.47,1.5,0.5,2.45,2.26,10.74,0.5,0.5,3.5,5.5,2.47,0.25,2.25,0.22,1.1
78,2.31,1.5,0.5,2.3,2.29,11.07,0.5,0.5,3.5,5.5,2.32,0.23,2.13,0.18,1.09
79,2.17,1.5,0.5,2.15,2.3,11.3,0.5,0.5,2.5,4.5,2.19,0.09,2.02,0.15,1.07
80,2.05,1.5,0.5,2.02,2.31,11.46,0.5,0.5,2.5,4.5,2.07,0.08,1.93,0.13,1.07
81,1.94,1.5,0.5,1.89,2.3,11.57,0.5,0.5,2.5,4.5,1.95,0.08,1.84,0.1,1.06
82,1.83,1.5,0.5,1.77,2.3,11.64,0.5,0.5,2.5,4.5,1.85,0.08,1.75,0.08,1.05
83,1.74,1.5,0.5,1.66,2.29,11.65,0.5,0.5,2.5,3.5,1.75,0.07,1.67,0.07,1.04
84,1.65,1.5,0.5,1.56,2.28,11.6,0.5,0.5,2.5,3.5,1.65,0.07,1.59,0.05,1.03
85,1.56,1.5,0.5,1.47,2.26,11.49,0.5,0.5,2.5,3.5,1.57,0.06,1.52,0.04,1.03
86,1.48,1.5,0.5,1.38,2.24,11.33,0.5,0.5,1.5,3.5,1.48,0.07,1.45,0.03,1.02
87,1.41,0.5,0.5,1.3,2.22,11.14,0.5,0.5,1.5,3.5,1.41,0.06,1.38,0.03,1.02
88,1.34,0.5,0.5,1.23,2.21,10.92,0.5,0.5,1.5,2.5,1.34,0.06,1.32,0.02,1.02
89,1.28,0.5,0.5,1.16,2.19,10.7,0.5,0.5,1.5,2.5,1.29,0.06,1.27,0.02,1.01
90,1.22,0.5,0.5,1.09,2.18,10.49,0.5,0.5,1.5,2.5,1.23,0.05,1.21,0.01,1.01
