age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
25,42.26,42.5,42.5,9.1,-0.63,5.06,32.5,37.5,47.5,53.5,42.24,0.26,36.06,6.2,1.17
26,41.28,41.5,41.5,9.06,-0.6,4.93,31.5,36.5,46.5,52.5,41.27,0.26,35.12,6.16,1.18
27,40.31,40.5,40.5,9.01,-0.56,4.81,30.5,35.5,45.5,51.5,40.29,0.26,34.19,6.12,1.18
28,39.33,39.5,39.5,8.96,-0.53,4.7,29.5,34.5,44.5,50.5,39.31,0.26,33.26,6.07,1.18
29,38.35,38.5,38.5,8.91,-0.5,4.58,28.5,33.5,43.5,49.5,38.34,0.26,32.34,6.01,1.19
30,37.38,37.5,37.5,8.86,-0.46,4.48,27.5,32.5,42.5,48.5,37.36,0.26,31.44,5.94,1.19
31,36.4,36.5,36.5,8.81,-0.43,4.37,26.5,31.5,41.5,47.5,36.39,0.26,30.54,5.86,1.19
32,35.43,35.5,35.5,8.75,-0.39,4.27,25.5,30.5,40.5,46.5,35.41,0.26,29.66,5.77,1.19
33,34.46,34.5,34.5,8.7,-0.36,4.17,24.5,29.5,39.5,45.5,34.44,0.26,28.79,5.67,1.2
34,33.49,33.5,33.5,8.65,-0.32,4.07,23.5,28.5,38.5,44.5,33.47,0.26,27.93,5.55,1.2
35,32.51,32.5,32.5,8.6,-0.28,3.97,22.5,27.5,37.5,43.5,32.5,0.26,27.08,5.43,1.2
36,31.55,31.5,31.5,8.54,-0.25,3.88,21.5,26.5,36.5,42.5,31.53,0.26,26.24,5.3,1.2
37,30.58,30.5,30.5,8.48,-0.21,3.79,20.5,25.5,35.5,41.5,30.56,0.26,25.41,5.17,1.2
38,29.61,29.5,29.5,8.42,-0.17,3.71,19.5,24.5,34.5,40.5,29.59,0.26,24.57,5.04,1.21
39,28.65,28.5,28.5,8.36,-0.13,3.63,18.5,23.5,33.5,39.5,28.63,0.26,23.73,4.92,1.21
40,27.69,27.5,27.5,8.3,-0.1,3.55,17.5,22.5,32.5,38.5,27.67,0.26,22.89,4.8,1.21
41,26.73,26.5,26.5,8.24,-0.06,3.48,16.5,21.5,31.5,37.5,26.71,0.26,22.03,4.69,1.21
42,25.77,25.5,25.5,8.18,-0.02,3.41,15.5,20.5,30.5,36.5,25.75,0.26,21.18,4.59,1.22
