age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
26,43.8,43.5,43.5,10.5,-0.46,4.21,31.5,38.5,50.5,57.5,43.91,0.57,37.89,5.91,1.16
27,42.82,42.5,42.5,10.45,-0.43,4.13,30.5,37.5,49.5,56.5,42.93,0.58,36.93,5.89,1.16
28,41.84,41.5,41.5,10.4,-0.41,4.05,29.5,36.5,48.5,55.5,41.96,0.58,35.98,5.87,1.16
29,40.87,40.5,40.5,10.35,-0.38,3.97,28.5,35.5,47.5,54.5,40.98,0.58,35.04,5.83,1.17
30,39.9,39.5,39.5,10.31,-0.35,3.9,27.5,34.5,46.5,53.5,40.01,0.58,34.1,5.8,1.17
31,38.92,38.5,38.5,10.26,-0.33,3.83,26.5,33.5,45.5,52.5,39.03,0.58,33.17,5.75,1.17
32,37.95,37.5,37.5,10.21,-0.3,3.76,25.5,32.5,44.5,51.5,38.06,0.58,32.26,5.7,1.18
33,36.98,36.5,36.5,10.16,-0.28,3.69,25.5,31.5,43.5,50.5,37.09,0.58,31.35,5.63,1.18
34,36.01,35.5,35.5,10.11,-0.25,3.63,24.5,30.5,42.5,49.5,36.12,0.58,30.44,5.57,1.18
35,35.04,34.5,34.5,10.06,-0.22,3.57,23.5,29.5,41.5,48.5,35.15,0.58,29.55,5.49,1.19
36,34.08,33.5,33.5,10.0,-0.2,3.51,22.5,28.5,40.5,47.5,34.18,0.58,28.66,5.42,1.19
37,33.11,32.5,32.5,9.95,-0.17,3.45,21.5,27.5,39.5,46.5,33.22,0.58,27.77,5.34,1.19
38,32.15,31.5,31.5,9.89,-0.14,3.4,20.5,26.5,38.5,45.5,32.25,0.58,26.88,5.26,1.2
39,31.19,30.5,30.5,9.83,-0.11,3.34,19.5,25.5,37.5,44.5,31.29,0.58,26.0,5.19,1.2
40,30.23,29.5,29.5,9.77,-0.08,3.29,18.5,24.5,36.5,43.5,30.34,0.58,25.12,5.11,1.2
41,29.27,29.5,28.5,9.7,-0.05,3.24,17.5,23.5,35.5,42.5,29.38,0.58,24.25,5.02,1.21
42,28.32,28.5,27.5,9.64,-0.02,3.2,16.5,22.5,34.5,41.5,28.43,0.57,23.39,4.93,1.21
43,27.37,27.5,26.5,9.56,0.01,3.15,15.5,21.5,33.5,40.5,27.48,0.57,22.54,4.83,1.21
44,26.43,26.5,25.5,9.49,0.05,3.11,14.5,20.5,32.5,39.5,26.54,0.58,21.71,4.72,1.22
45,25.49,25.5,24.5,9.41,0.08,3.06,13.5,19.5,31.5,38.5,25.59,0.57,20.89,4.6,1.22
46,24.55,24.5,23.5,9.33,0.12,3.03,13.5,18.5,30.5,37.5,24.66,0.57,20.07,4.48,1.22
47,23.62,23.5,22.5,9.24,0.16,2.99,12.5,17.5,29.5,36.5,23.73,0.57,19.26,4.37,1.23
48,22.7,22.5,21.5,9.15,0.2,2.96,11.5,16.5,28.5,35.5,22.8,0.57,18.44,4.26,1.23
49,21.78,21.5,20.5,9.06,0.24,2.93,10.5,15.5,27.5,34.5,21.88,0.57,17.62,4.16,1.24
50,20.86,20.5,19.5,8.96,0.28,2.91,9.5,14.5,26.5,33.5,20.96,0.57,16.81,4.06,1.24
51,19.95,19.5,18.5,8.86,0.32,2.89,9.5,13.5,25.5,32.5,20.05,0.57,16.0,3.96,1.25
52,19.05,18.5,16.5,8.76,0.36,2.88,8.5,12.5,24.5,31.5,19.15,0.57,15.2,3.85,1.25
53,18.16,17.5,15.5,8.66,0.4,2.88,7.5,12.5,23.5,30.5,18.25,0.56,14.4,3.76,1.26
54,17.27,16.5,14.5,8.55,0.44,2.88,6.5,11.5,22.5,29.5,17.36,0.56,13.61,3.66,1.27
55,16.39,15.5,13.5,8.44,0.49,2.88,6.5,10.5,21.5,28.5,16.47,0.56,12.83,3.56,1.28
56,15.51,14.5,12.5,8.33,0.53,2.89,5.5,9.5,20.5,27.5,15.6,0.55,12.05,3.46,1.29
57,14.65,13.5,11.5,8.21,0.57,2.91,4.5,8.5,19.5,26.5,14.74,0.55,11.3,3.35,1.3
58,13.81,12.5,10.5,8.08,0.62,2.94,4.5,7.5,18.5,25.5,13.89,0.54,10.58,3.23,1.3
59,12.99,11.5,9.5,7.94,0.66,2.98,3.5,6.5,17.5,24.5,13.06,0.55,9.9,3.09,1.31
60,12.18,10.5,8.5,7.78,0.71,3.03,2.5,6.5,16.5,23.5,12.25,0.54,9.24,2.94,1.32
61,11.41,10.5,7.5,7.62,0.77,3.09,2.5,5.5,16.5,22.5,11.46,0.54,8.62,2.79,1.32
62,10.66,9.5,5.5,7.44,0.82,3.16,2.5,4.5,15.5,21.5,10.7,0.53,8.04,2.62,1.33
63,9.95,8.5,3.5,7.25,0.88,3.25,1.5,4.5,14.5,20.5,9.98,0.52,7.51,2.44,1.33
64,9.29,7.5,2.5,7.04,0.93,3.36,1.5,3.5,13.5,19.5,9.3,0.52,7.03,2.26,1.32
65,8.67,6.5,0.5,6.81,0.99,3.48,1.5,3.5,12.5,18.5,8.68,0.52,6.59,2.08,1.31
66,8.1,6.5,0.5,6.57,1.05,3.62,1.5,2.5,11.5,17.5,8.11,0.52,6.21,1.89,1.3
67,7.58,5.5,0.5,6.32,1.1,3.76,0.5,2.5,11.5,17.5,7.56,0.53,5.86,1.71,1.29
68,7.1,5.5,0.5,6.07,1.15,3.92,0.5,2.5,10.5,16.5,7.07,0.52,5.56,1.54,1.28
69,6.67,4.5,0.5,5.81,1.2,4.08,0.5,2.5,9.5,15.5,6.62,0.54,5.28,1.38,1.26
70,6.27,4.5,0.5,5.55,1.25,4.24,0.5,1.5,9.5,14.5,6.25,0.56,5.03,1.24,1.25
71,5.91,4.5,0.5,5.29,1.29,4.41,0.5,1.5,8.5,13.5,5.88,0.57,4.81,1.1,1.23
72,5.58,4.5,0.5,5.03,1.32,4.57,0.5,1.5,8.5,12.5,5.58,0.55,4.61,0.97,1.21
73,5.28,3.5,0.5,4.78,1.36,4.74,0.5,1.5,7.5,12.5,5.28,0.65,4.42,0.86,1.19
74,4.99,3.5,0.5,4.54,1.39,4.91,0.5,1.5,7.5,11.5,4.97,0.61,4.25,0.75,1.18
75,4.73,3.5,0.5,4.31,1.42,5.09,0.5,1.5,6.5,10.5,4.74,0.66,4.08,0.65,1.16
76,4.47,3.5,0.5,4.08,1.45,5.26,0.5,1.5,6.5,10.5,4.44,0.65,3.91,0.56,1.14
77,4.23,3.5,0.5,3.86,1.48,5.44,0.5,1.5,6.5,9.5,4.14,0.65,3.76,0.48,1.13
78,4.0,2.5,0.5,3.65,1.51,5.62,0.5,1.5,5.5,9.5,3.94,0.53,3.6,0.4,1.11
79,3.79,2.5,0.5,3.46,1.54,5.79,0.5,1.5,5.5,8.5,3.76,0.14,3.45,0.34,1.1
80,3.58,2.5,0.5,3.27,1.56,5.95,0.5,1.5,5.5,8.5,3.55,0.14,3.3,0.28,1.08
81,3.39,2.5,0.5,3.09,1.58,6.09,0.5,1.5,4.5,7.5,3.36,0.13,3.16,0.23,1.07
82,3.21,2.5,0.5,2.93,1.61,6.22,0.5,0.5,4.5,7.5,3.19,0.13,3.03,0.19,1.06
83,3.04,2.5,0.5,2.78,1.62,6.32,0.5,0.5,4.5,6.5,3.02,0.12,2.89,0.15,1.05
84,2.89,2.5,0.5,2.64,1.63,6.4,0.5,0.5,4.5,6.5,2.86,0.12,2.77,0.12,1.04
85,2.75,1.5,0.5,2.5,1.64,6.45,0.5,0.5,3.5,6.5,2.71,0.1,2.65,0.1,1.04
86,2.61,1.5,0.5,2.38,1.65,6.49,0.5,0.5,3.5,5.5,2.6,0.09,2.53,0.08,1.03
87,2.49,1.5,0.5,2.26,1.66,6.52,0.5,0.5,3.5,5.5,2.48,0.09,2.43,0.06,1.03
88,2.37,1.5,0.5,2.15,1.66,6.56,0.5,0.5,3.5,5.5,2.37,0.09,2.32,0.05,1.02
89,2.26,1.5,0.5,2.05,1.67,6.6,0.5,0.5,3.5,5.5,2.25,0.09,2.22,0.04,1.02
90,2.15,1.5,0.5,1.95,1.68,6.64,0.5,0.5,2.5,4.5,2.16,0.08,2.12,0.03,1.02
