age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,46.67,47.5,47.5,10.39,-0.64,4.65,34.5,41.5,53.5,58.5,46.66,0.13,34.23,12.44,1.36
19,45.69,46.5,46.5,10.37,-0.62,4.58,33.5,40.5,52.5,57.5,45.67,0.13,33.47,12.21,1.36
20,44.7,45.5,45.5,10.33,-0.6,4.51,32.5,39.5,51.5,56.5,44.69,0.13,32.69,12.01,1.37
21,43.72,44.5,44.5,10.3,-0.58,4.45,31.5,38.5,50.5,55.5,43.7,0.13,31.88,11.83,1.37
22,42.74,43.5,43.5,10.27,-0.57,4.38,30.5,37.5,49.5,54.5,42.72,0.13,31.06,11.67,1.38
23,41.75,42.5,42.5,10.23,-0.55,4.32,29.5,36.5,48.5,53.5,41.74,0.13,30.22,11.53,1.38
24,40.77,41.5,41.5,10.2,-0.53,4.26,28.5,35.5,47.5,52.5,40.76,0.13,29.36,11.41,1.39
25,39.79,40.5,40.5,10.17,-0.51,4.21,27.5,34.5,46.5,51.5,39.78,0.13,28.51,11.28,1.4
26,38.81,39.5,39.5,10.14,-0.5,4.16,26.5,33.5,45.5,50.5,38.8,0.13,27.65,11.15,1.4
27,37.82,38.5,38.5,10.11,-0.48,4.11,25.5,32.5,44.5,49.5,37.81,0.13,26.79,11.03,1.41
28,36.84,37.5,37.5,10.08,-0.47,4.07,24.5,31.5,43.5,48.5,36.83,0.13,25.92,10.92,1.42
29,35.86,36.5,36.5,10.05,-0.45,4.03,23.5,30.5,42.5,47.5,35.85,0.13,25.05,10.81,1.43
30,34.87,35.5,35.5,10.03,-0.44,3.99,22.5,29.5,41.5,46.5,34.86,0.13,24.19,10.69,1.44
31,33.89,34.5,34.5,10.01,-0.43,3.95,21.5,28.5,40.5,45.5,33.88,0.13,23.34,10.55,1.45
32,32.9,33.5,33.5,9.99,-0.42,3.91,20.5,27.5,39.5,44.5,32.89,0.13,22.5,10.41,1.46
33,31.91,32.5,32.5,9.97,-0.41,3.86,19.5,26.5,38.5,43.5,31.9,0.13,21.66,10.25,1.47
34,30.92,31.5,31.5,9.96,-0.4,3.82,18.5,25.5,37.5,42.5,30.91,0.13,20.83,10.1,1.48
35,29.93,30.5,30.5,9.95,-0.39,3.77,17.5,24.5,36.5,41.5,29.92,0.13,20.0,9.94,1.5
36,28.94,29.5,29.5,9.94,-0.37,3.71,16.5,23.5,35.5,40.5,28.92,0.13,19.17,9.77,1.51
37,27.94,28.5,28.5,9.93,-0.36,3.65,15.5,22.5,34.5,39.5,27.93,0.14,18.35,9.59,1.52
38,26.94,27.5,27.5,9.93,-0.35,3.59,14.5,21.5,33.5,38.5,26.93,0.13,17.52,9.42,1.54
39,25.94,26.5,26.5,9.93,-0.33,3.52,13.5,20.5,32.5,37.5,25.92,0.14,16.7,9.24,1.55
40,24.93,25.5,25.5,9.93,-0.32,3.44,12.5,19.5,31.5,37.5,24.91,0.14,15.88,9.05,1.57
41,23.92,24.5,24.5,9.93,-0.3,3.35,11.5,18.5,30.5,36.5,23.9,0.14,15.07,8.85,1.59
42,22.9,23.5,0.0,9.94,-0.27,3.26,9.5,17.5,29.5,35.5,22.89,0.14,14.26,8.64,1.61
43,21.88,22.5,0.0,9.94,-0.25,3.16,8.5,16.5,28.5,34.5,21.86,0.14,13.46,8.42,1.63
44,20.85,21.5,0.0,9.94,-0.21,3.06,7.5,15.5,27.5,33.5,20.83,0.14,12.65,8.2,1.65
45,19.82,20.5,0.0,9.93,-0.18,2.95,5.5,14.5,26.5,32.5,19.8,0.15,11.84,7.98,1.67
46,18.78,19.5,0.0,9.92,-0.13,2.85,0.5,13.5,25.5,31.5,18.77,0.15,11.04,7.74,1.7
47,17.75,18.5,0.0,9.9,-0.08,2.74,0.5,12.5,24.5,30.5,17.73,0.15,10.25,7.49,1.73
48,16.71,17.5,0.0,9.86,-0.03,2.65,0.5,10.5,23.5,29.5,16.69,0.15,9.47,7.24,1.76
49,15.67,16.5,0.0,9.81,0.03,2.57,0.5,9.5,22.5,28.5,15.65,0.16,8.7,6.97,1.8
50,14.64,15.5,0.0,9.74,0.1,2.5,0.5,8.5,21.5,27.5,14.62,0.16,7.96,6.68,1.84
51,13.63,14.5,0.0,9.64,0.18,2.45,0.5,6.5,20.5,26.5,13.6,0.16,7.25,6.38,1.88
52,12.63,12.5,0.0,9.51,0.26,2.42,0.5,3.5,19.5,25.5,12.61,0.15,6.56,6.06,1.92
53,11.64,11.5,0.0,9.36,0.35,2.42,0.5,0.5,18.5,24.5,11.62,0.15,5.9,5.74,1.97
54,10.68,10.5,0.0,9.18,0.45,2.45,0.5,0.5,17.5,23.5,10.66,0.15,5.27,5.41,2.03
55,9.75,9.5,0.0,8.98,0.55,2.52,0.5,0.5,16.5,22.5,9.73,0.14,4.68,5.07,2.08
56,8.86,8.5,0.0,8.74,0.66,2.63,0.5,0.5,15.5,21.5,8.84,0.14,4.13,4.73,2.14
57,8.01,6.5,0.0,8.47,0.78,2.78,0.5,0.5,13.5,20.5,7.99,0.13,3.63,4.38,2.21
58,7.21,5.5,0.0,8.18,0.9,2.97,0.5,0.5,12.5,19.5,7.2,0.12,3.17,4.04,2.27
59,6.47,2.5,0.0,7.86,1.03,3.22,0.5,0.5,11.5,18.5,6.45,0.12,2.76,3.7,2.34
60,5.78,0.5,0.0,7.53,1.16,3.52,0.5,0.5,10.5,17.5,5.77,0.11,2.41,3.37,2.4
61,5.15,0.5,0.0,7.18,1.29,3.88,0.5,0.5,9.5,16.5,5.14,0.11,2.1,3.04,2.45
62,4.58,0.5,0.0,6.81,1.43,4.3,0.5,0.5,8.5,15.5,4.57,0.1,1.85,2.73,2.48
63,4.06,0.5,0.0,6.44,1.58,4.8,0.5,0.5,7.5,14.5,4.05,0.09,1.63,2.43,2.49
64,3.59,0.5,0.0,6.07,1.73,5.38,0.5,0.5,6.5,13.5,3.58,0.09,1.44,2.15,2.5
65,3.16,0.5,0.0,5.7,1.89,6.06,0.5,0.5,4.5,12.5,3.15,0.08,1.26,1.89,2.5
66,2.75,0.5,0.0,5.33,2.07,6.88,0.5,0.5,3.5,11.5,2.75,0.08,1.1,1.65,2.5
67,2.39,0.5,0.0,4.97,2.27,7.86,0.5,0.5,0.5,10.5,2.38,0.07,0.95,1.44,2.51
68,2.06,0.5,0.0,4.61,2.48,9.02,0.5,0.5,0.5,9.5,2.06,0.06,0.82,1.24,2.53
69,1.77,0.5,0.0,4.26,2.71,10.39,0.5,0.5,0.5,8.5,1.77,0.06,0.7,1.07,2.53
70,1.52,0.5,0.0,3.92,2.95,12.0,0.5,0.5,0.5,6.5,1.51,0.05,0.6,0.91,2.52
71,1.29,0.5,0.0,3.6,3.22,13.91,0.5,0.5,0.5,5.5,1.29,0.04,0.51,0.78,2.51
72,1.09,0.5,0.0,3.29,3.51,16.22,0.5,0.5,0.5,4.5,1.09,0.04,0.44,0.66,2.5
73,0.92,0.5,0.0,3.0,3.84,19.01,0.5,0.5,0.5,3.5,0.92,0.03,0.37,0.55,2.49
74,0.77,0.5,0.0,2.72,4.2,22.39,0.5,0.5,0.5,0.5,0.77,0.03,0.31,0.46,2.49
75,0.64,0.5,0.0,2.46,4.6,26.47,0.5,0.5,0.5,0.5,0.64,0.02,0.26,0.38,2.5
76,0.53,0.5,0.0,2.22,5.04,31.36,0.5,0.5,0.5,0.5,0.53,0.02,0.21,0.32,2.5
77,0.43,0.5,0.0,2.0,5.52,37.24,0.5,0.5,0.5,0.5,0.43,0.01,0.17,0.26,2.5
78,0.36,0.5,0.0,1.79,6.05,44.35,0.5,0.5,0.5,0.5,0.35,0.01,0.14,0.21,2.51
79,0.29,0.5,0.0,1.6,6.63,52.87,0.5,0.5,0.5,0.5,0.29,0.0,0.12,0.17,2.52
80,0.24,0.5,0.0,1.43,7.25,62.93,0.5,0.5,0.5,0.5,0.24,0.0,0.09,0.14,2.51
81,0.19,0.5,0.0,1.27,7.93,74.91,0.5,0.5,0.5,0.5,0.19,0.0,0.08,0.12,2.49
82,0.16,0.5,0.0,1.13,8.68,89.54,0.5,0.5,0.5,0.5,0.16,0.0,0.06,0.09,2.46
83,0.13,0.5,0.0,1.0,9.54,107.77,0.5,0.5,0.5,0.5,0.13,0.0,0.05,0.08,2.44
84,0.1,0.5,0.0,0.88,10.51,130.43,0.5,0.5,0.5,0.5,0.1,0.0,0.04,0.06,2.43
85,0.08,0.5,0.0,0.78,11.58,158.09,0.5,0.5,0.5,0.5,0.08,0.0,0.03,0.05,2.42
86,0.06,0.5,0.0,0.68,12.76,191.52,0.5,0.5,0.5,0.5,0.06,0.0,0.03,0.04,2.41
87,0.05,0.5,0.0,0.6,14.04,231.68,0.5,0.5,0.5,0.5,0.05,0.0,0.02,0.03,2.38
88,0.04,0.5,0.0,0.52,15.46,281.14,0.5,0.5,0.5,0.5,0.04,0.0,0.02,0.02,2.34
89,0.03,0.5,0.0,0.46,17.08,343.07,0.5,0.5,0.5,0.5,0.03,0.0,0.01,0.02,2.32
90,0.03,0.5,0.0,0.4,18.9,420.11,0.5,0.5,0.5,0.5,0.03,0.0,0.01,0.01,2.3
