age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,39.85,41.5,44.5,13.83,-0.42,3.08,21.5,30.5,49.5,56.5,39.96,0.86,17.65,22.2,2.26
19,38.87,40.5,43.5,13.81,-0.41,3.06,20.5,29.5,48.5,55.5,38.98,0.86,17.25,21.62,2.25
20,37.88,39.5,42.5,13.78,-0.4,3.03,19.5,28.5,47.5,54.5,37.99,0.86,16.84,21.05,2.25
21,36.9,38.5,41.5,13.74,-0.39,3.0,18.5,27.5,46.5,53.5,37.01,0.86,16.43,20.47,2.25
22,35.92,37.5,40.5,13.71,-0.38,2.96,17.5,26.5,45.5,52.5,36.04,0.86,16.02,19.9,2.24
23,34.95,36.5,39.5,13.67,-0.36,2.93,16.5,25.5,44.5,51.5,35.06,0.86,15.61,19.33,2.24
24,33.97,35.5,38.5,13.63,-0.35,2.9,15.5,24.5,43.5,50.5,34.08,0.86,15.2,18.77,2.24
25,33.0,34.5,37.5,13.58,-0.34,2.86,14.5,23.5,42.5,49.5,33.11,0.86,14.78,18.22,2.23
26,32.02,33.5,36.5,13.54,-0.32,2.83,13.5,23.5,41.5,48.5,32.13,0.86,14.36,17.66,2.23
27,31.05,32.5,35.5,13.49,-0.3,2.79,12.5,22.5,40.5,47.5,31.16,0.86,13.94,17.11,2.23
28,30.08,31.5,0.0,13.44,-0.29,2.75,11.5,21.5,39.5,46.5,30.2,0.86,13.51,16.57,2.23
29,29.11,30.5,0.0,13.38,-0.27,2.71,10.5,20.5,38.5,45.5,29.23,0.86,13.08,16.03,2.23
30,28.14,29.5,0.0,13.32,-0.25,2.67,9.5,19.5,37.5,44.5,28.26,0.85,12.64,15.5,2.23
31,27.18,28.5,0.0,13.26,-0.23,2.63,8.5,18.5,36.5,43.5,27.3,0.85,12.21,14.97,2.23
32,26.22,27.5,0.0,13.19,-0.2,2.59,7.5,17.5,35.5,42.5,26.33,0.84,11.76,14.45,2.23
33,25.26,26.5,0.0,13.12,-0.18,2.55,5.5,16.5,34.5,41.5,25.37,0.84,11.32,13.93,2.23
34,24.3,25.5,0.0,13.04,-0.15,2.51,4.5,15.5,33.5,40.5,24.41,0.84,10.88,13.42,2.23
35,23.34,24.5,0.0,12.95,-0.12,2.47,2.5,14.5,32.5,39.5,23.46,0.83,10.43,12.91,2.24
36,22.39,23.5,0.0,12.86,-0.09,2.43,0.5,13.5,31.5,38.5,22.51,0.83,9.98,12.41,2.24
37,21.45,22.5,0.0,12.75,-0.06,2.39,0.5,12.5,30.5,37.5,21.56,0.82,9.54,11.91,2.25
38,20.51,21.5,0.0,12.64,-0.02,2.35,0.5,10.5,29.5,36.5,20.62,0.81,9.1,11.41,2.25
39,19.58,20.5,0.0,12.51,0.02,2.32,0.5,9.5,28.5,35.5,19.69,0.8,8.67,10.91,2.26
40,18.65,19.5,0.0,12.38,0.06,2.3,0.5,8.5,27.5,34.5,18.77,0.79,8.24,10.41,2.26
41,17.73,18.5,0.0,12.23,0.11,2.28,0.5,7.5,26.5,33.5,17.85,0.78,7.81,9.92,2.27
42,16.83,17.5,0.0,12.06,0.15,2.27,0.5,6.5,25.5,32.5,16.93,0.78,7.4,9.43,2.28
43,15.93,16.5,0.0,11.88,0.21,2.26,0.5,4.5,24.5,31.5,16.03,0.77,6.98,8.95,2.28
44,15.05,15.5,0.0,11.69,0.26,2.27,0.5,2.5,23.5,30.5,15.14,0.77,6.58,8.47,2.29
45,14.17,14.5,0.0,11.48,0.32,2.29,0.5,0.5,22.5,29.5,14.26,0.74,6.17,8.0,2.3
46,13.31,13.5,0.0,11.25,0.39,2.32,0.5,0.5,21.5,28.5,13.38,0.74,5.77,7.54,2.31
47,12.46,12.5,0.0,11.01,0.46,2.37,0.5,0.5,20.5,27.5,12.53,0.73,5.37,7.09,2.32
48,11.63,11.5,0.0,10.76,0.53,2.43,0.5,0.5,19.5,26.5,11.68,0.72,4.97,6.66,2.34
49,10.81,10.5,0.0,10.49,0.61,2.51,0.5,0.5,18.5,25.5,10.85,0.7,4.58,6.24,2.36
50,10.02,9.5,0.0,10.21,0.7,2.62,0.5,0.5,17.5,24.5,10.05,0.69,4.19,5.83,2.39
51,9.24,7.5,0.0,9.91,0.79,2.76,0.5,0.5,16.5,23.5,9.27,0.67,3.81,5.43,2.43
52,8.49,6.5,0.0,9.6,0.89,2.92,0.5,0.5,15.5,22.5,8.53,0.63,3.44,5.05,2.47
53,7.77,4.5,0.0,9.27,0.99,3.12,0.5,0.5,14.5,21.5,7.79,0.6,3.09,4.68,2.51
54,7.09,0.5,0.0,8.94,1.1,3.36,0.5,0.5,12.5,20.5,7.11,0.56,2.77,4.32,2.56
55,6.44,0.5,0.0,8.59,1.21,3.64,0.5,0.5,11.5,19.5,6.45,0.53,2.47,3.98,2.61
56,5.83,0.5,0.0,8.23,1.33,3.96,0.5,0.5,10.5,18.5,5.84,0.5,2.19,3.64,2.66
57,5.27,0.5,0.0,7.87,1.45,4.33,0.5,0.5,9.5,17.5,5.27,0.47,1.94,3.33,2.72
58,4.74,0.5,0.0,7.51,1.57,4.75,0.5,0.5,8.5,16.5,4.74,0.44,1.71,3.03,2.77
59,4.25,0.5,0.0,7.14,1.71,5.23,0.5,0.5,7.5,15.5,4.26,0.41,1.51,2.74,2.82
60,3.8,0.5,0.0,6.77,1.85,5.77,0.5,0.5,6.5,14.5,3.8,0.39,1.33,2.48,2.86
61,3.39,0.5,0.0,6.41,1.99,6.39,0.5,0.5,4.5,13.5,3.39,0.36,1.17,2.23,2.91
62,3.02,0.5,0.0,6.05,2.14,7.09,0.5,0.5,2.5,12.5,3.02,0.33,1.02,2.0,2.95
63,2.68,0.5,0.0,5.69,2.3,7.88,0.5,0.5,0.5,11.5,2.68,0.29,0.9,1.78,2.99
64,2.37,0.5,0.0,5.34,2.46,8.77,0.5,0.5,0.5,10.5,2.39,0.27,0.78,1.59,3.03
65,2.1,0.5,0.0,5.0,2.64,9.78,0.5,0.5,0.5,9.5,2.1,0.25,0.68,1.41,3.07
66,1.85,0.5,0.0,4.67,2.82,10.92,0.5,0.5,0.5,8.5,1.85,0.23,0.59,1.25,3.11
67,1.62,0.5,0.0,4.36,3.01,12.22,0.5,0.5,0.5,7.5,1.63,0.2,0.52,1.11,3.14
68,1.43,0.5,0.0,4.05,3.22,13.68,0.5,0.5,0.5,6.5,1.43,0.18,0.45,0.97,3.16
69,1.25,0.5,0.0,3.75,3.43,15.34,0.5,0.5,0.5,5.5,1.25,0.15,0.39,0.86,3.17
70,1.09,0.5,0.0,3.47,3.66,17.24,0.5,0.5,0.5,4.5,1.09,0.13,0.35,0.75,3.16
71,0.95,0.5,0.0,3.2,3.91,19.44,0.5,0.5,0.5,2.5,0.95,0.12,0.3,0.65,3.15
72,0.82,0.5,0.0,2.95,4.17,22.0,0.5,0.5,0.5,0.5,0.82,0.1,0.26,0.56,3.14
73,0.71,0.5,0.0,2.7,4.47,24.98,0.5,0.5,0.5,0.5,0.71,0.08,0.23,0.48,3.12
74,0.61,0.5,0.0,2.47,4.79,28.47,0.5,0.5,0.5,0.5,0.61,0.07,0.2,0.41,3.1
75,0.52,0.5,0.0,2.25,5.14,32.61,0.5,0.5,0.5,0.5,0.52,0.05,0.17,0.35,3.07
76,0.45,0.5,0.0,2.05,5.52,37.54,0.5,0.5,0.5,0.5,0.44,0.04,0.15,0.3,3.04
77,0.38,0.5,0.0,1.85,5.96,43.47,0.5,0.5,0.5,0.5,0.38,0.03,0.13,0.25,3.0
78,0.32,0.5,0.0,1.67,6.44,50.65,0.5,0.5,0.5,0.5,0.32,0.02,0.11,0.21,2.97
79,0.26,0.5,0.0,1.51,6.99,59.34,0.5,0.5,0.5,0.5,0.26,0.0,0.09,0.17,2.93
80,0.22,0.5,0.0,1.35,7.6,69.94,0.5,0.5,0.5,0.5,0.22,0.0,0.08,0.14,2.9
81,0.18,0.5,0.0,1.21,8.29,82.83,0.5,0.5,0.5,0.5,0.18,0.0,0.06,0.12,2.87
82,0.15,0.5,0.0,1.08,9.06,98.56,0.5,0.5,0.5,0.5,0.15,0.0,0.05,0.1,2.85
83,0.12,0.5,0.0,0.96,9.91,117.7,0.5,0.5,0.5,0.5,0.12,0.0,0.04,0.08,2.85
84,0.1,0.5,0.0,0.85,10.86,140.76,0.5,0.5,0.5,0.5,0.1,0.0,0.03,0.06,2.85
85,0.08,0.5,0.0,0.75,11.88,167.95,0.5,0.5,0.5,0.5,0.08,0.0,0.03,0.05,2.86
86,0.06,0.5,0.0,0.67,12.97,199.68,0.5,0.5,0.5,0.5,0.06,0.0,0.02,0.04,2.85
87,0.05,0.5,0.0,0.59,14.13,236.95,0.5,0.5,0.5,0.5,0.05,0.0,0.02,0.03,2.83
88,0.04,0.5,0.0,0.52,15.38,280.99,0.5,0.5,0.5,0.5,0.04,0.0,0.02,0.03,2.79
89,0.03,0.5,0.0,0.46,16.76,333.65,0.5,0.5,0.5,0.5,0.03,0.0,0.01,0.02,2.74
90,0.03,0.5,0.0,0.41,18.29,397.56,0.5,0.5,0.5,0.5,0.03,0.0,0.01,0.02,2.7
