age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,40.52,41.5,41.5,12.14,-0.33,3.12,24.5,32.5,48.5,55.5,40.56,0.64,20.56,19.95,1.97
19,39.53,40.5,40.5,12.11,-0.33,3.1,23.5,31.5,47.5,54.5,39.58,0.64,20.07,19.46,1.97
20,38.54,39.5,39.5,12.09,-0.32,3.07,22.5,30.5,46.5,53.5,38.59,0.64,19.57,18.97,1.97
21,37.56,38.5,38.5,12.07,-0.31,3.04,21.5,29.5,45.5,52.5,37.6,0.64,19.07,18.49,1.97
22,36.58,37.5,37.5,12.04,-0.3,3.02,20.5,28.5,44.5,51.5,36.62,0.64,18.56,18.01,1.97
23,35.59,36.5,36.5,12.02,-0.29,2.99,19.5,27.5,43.5,50.5,35.64,0.64,18.05,17.54,1.97
24,34.61,35.5,35.5,11.99,-0.28,2.97,18.5,26.5,42.5,49.5,34.66,0.64,17.54,17.07,1.97
25,33.63,34.5,34.5,11.96,-0.27,2.94,17.5,25.5,41.5,48.5,33.67,0.64,17.02,16.61,1.98
26,32.65,33.5,33.5,11.94,-0.26,2.91,16.5,24.5,40.5,47.5,32.69,0.64,16.5,16.15,1.98
27,31.67,32.5,32.5,11.91,-0.25,2.88,15.5,23.5,39.5,46.5,31.71,0.64,15.97,15.7,1.98
28,30.68,31.5,31.5,11.88,-0.23,2.86,14.5,23.5,38.5,45.5,30.73,0.64,15.43,15.25,1.99
29,29.7,30.5,30.5,11.85,-0.22,2.83,13.5,22.5,38.5,44.5,29.75,0.64,14.89,14.81,1.99
30,28.72,29.5,29.5,11.82,-0.21,2.79,13.5,21.5,37.5,43.5,28.77,0.64,14.35,14.37,2.0
31,27.74,28.5,28.5,11.8,-0.2,2.76,12.5,20.5,36.5,42.5,27.79,0.65,13.8,13.94,2.01
32,26.76,27.5,27.5,11.77,-0.18,2.72,11.5,19.5,35.5,41.5,26.8,0.65,13.24,13.52,2.02
33,25.78,26.5,0.0,11.73,-0.17,2.68,10.5,18.5,34.5,40.5,25.83,0.65,12.69,13.09,2.03
34,24.8,25.5,0.0,11.7,-0.15,2.64,8.5,17.5,33.5,39.5,24.85,0.64,12.12,12.67,2.05
35,23.82,24.5,0.0,11.66,-0.13,2.6,7.5,16.5,32.5,38.5,23.86,0.65,11.56,12.25,2.06
36,22.84,23.5,0.0,11.62,-0.11,2.55,6.5,15.5,31.5,37.5,22.89,0.65,11.0,11.83,2.08
37,21.86,22.5,0.0,11.57,-0.08,2.5,5.5,14.5,30.5,36.5,21.91,0.65,10.44,11.42,2.09
38,20.88,21.5,0.0,11.52,-0.05,2.45,3.5,13.5,29.5,35.5,20.94,0.65,9.89,11.0,2.11
39,19.91,20.5,0.0,11.45,-0.02,2.4,0.5,12.5,28.5,34.5,19.97,0.65,9.33,10.57,2.13
40,18.94,19.5,0.0,11.38,0.01,2.36,0.5,10.5,27.5,33.5,19.0,0.64,8.79,10.15,2.15
41,17.98,18.5,0.0,11.29,0.05,2.31,0.5,9.5,26.5,32.5,18.03,0.64,8.26,9.72,2.18
42,17.02,17.5,0.0,11.19,0.1,2.27,0.5,8.5,25.5,31.5,17.07,0.64,7.74,9.28,2.2
43,16.08,16.5,0.0,11.07,0.15,2.24,0.5,7.5,24.5,30.5,16.13,0.64,7.23,8.85,2.22
44,15.14,15.5,0.0,10.93,0.2,2.22,0.5,6.5,23.5,29.5,15.19,0.64,6.74,8.4,2.25
45,14.23,14.5,0.0,10.78,0.25,2.2,0.5,4.5,22.5,28.5,14.26,0.64,6.27,7.96,2.27
46,13.32,13.5,0.0,10.6,0.32,2.2,0.5,2.5,21.5,27.5,13.36,0.62,5.81,7.52,2.29
47,12.44,12.5,0.0,10.41,0.38,2.22,0.5,0.5,20.5,26.5,12.48,0.61,5.36,7.08,2.32
48,11.57,11.5,0.0,10.19,0.45,2.25,0.5,0.5,19.5,25.5,11.62,0.6,4.93,6.64,2.35
49,10.73,9.5,0.0,9.96,0.53,2.3,0.5,0.5,18.5,24.5,10.78,0.59,4.52,6.21,2.37
50,9.92,8.5,0.0,9.7,0.6,2.37,0.5,0.5,17.5,23.5,9.98,0.58,4.13,5.79,2.4
51,9.13,7.5,0.0,9.42,0.69,2.46,0.5,0.5,16.5,22.5,9.2,0.57,3.76,5.37,2.43
52,8.38,6.5,0.0,9.13,0.78,2.59,0.5,0.5,15.5,21.5,8.45,0.55,3.41,4.97,2.46
53,7.66,4.5,0.0,8.81,0.87,2.74,0.5,0.5,14.5,20.5,7.73,0.53,3.08,4.58,2.48
54,6.97,2.5,0.0,8.49,0.97,2.92,0.5,0.5,13.5,19.5,7.05,0.51,2.78,4.2,2.51
55,6.32,0.5,0.0,8.14,1.07,3.15,0.5,0.5,11.5,18.5,6.4,0.49,2.49,3.83,2.54
