age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,44.9,45.5,44.5,13.09,-0.07,3.26,28.5,36.5,53.5,61.5,44.84,0.79,26.73,18.18,1.68
19,43.92,44.5,43.5,13.07,-0.06,3.23,27.5,35.5,52.5,60.5,43.85,0.79,26.14,17.77,1.68
20,42.93,43.5,42.5,13.04,-0.05,3.21,26.5,34.5,51.5,59.5,42.87,0.79,25.55,17.38,1.68
21,41.95,42.5,41.5,13.02,-0.04,3.19,25.5,33.5,50.5,58.5,41.88,0.79,24.94,17.01,1.68
22,40.96,41.5,40.5,12.99,-0.03,3.16,24.5,32.5,49.5,57.5,40.9,0.79,24.32,16.65,1.68
23,39.98,40.5,39.5,12.97,-0.02,3.14,23.5,31.5,48.5,56.5,39.92,0.79,23.68,16.3,1.69
24,39.0,39.5,38.5,12.94,-0.01,3.12,22.5,30.5,47.5,55.5,38.94,0.79,23.04,15.96,1.69
25,38.02,38.5,37.5,12.91,0.0,3.1,21.5,29.5,46.5,54.5,37.96,0.79,22.38,15.64,1.7
26,37.04,37.5,36.5,12.89,0.01,3.09,20.5,28.5,45.5,53.5,36.97,0.79,21.71,15.33,1.71
27,36.06,36.5,35.5,12.87,0.02,3.07,19.5,27.5,44.5,52.5,35.99,0.79,21.03,15.03,1.71
28,35.07,35.5,34.5,12.85,0.03,3.06,18.5,26.5,43.5,51.5,35.01,0.79,20.33,14.75,1.73
29,34.09,34.5,33.5,12.83,0.03,3.04,17.5,25.5,42.5,50.5,34.03,0.79,19.62,14.47,1.74
30,33.1,33.5,32.5,12.81,0.04,3.03,16.5,24.5,41.5,49.5,33.04,0.79,18.9,14.21,1.75
31,32.12,32.5,31.5,12.8,0.05,3.01,15.5,23.5,40.5,48.5,32.06,0.79,18.18,13.94,1.77
32,31.13,31.5,30.5,12.79,0.05,2.99,14.5,22.5,39.5,47.5,31.07,0.79,17.45,13.68,1.78
33,30.14,30.5,29.5,12.78,0.06,2.98,13.5,21.5,38.5,46.5,30.08,0.79,16.72,13.42,1.8
34,29.15,29.5,28.5,12.77,0.06,2.95,12.5,20.5,37.5,45.5,29.09,0.79,15.99,13.16,1.82
35,28.16,28.5,27.5,12.77,0.07,2.93,11.5,19.5,36.5,44.5,28.1,0.79,15.26,12.9,1.85
36,27.16,27.5,0.0,12.76,0.08,2.9,10.5,18.5,35.5,43.5,27.1,0.8,14.53,12.63,1.87
37,26.17,26.5,0.0,12.75,0.09,2.87,9.5,17.5,34.5,42.5,26.11,0.8,13.82,12.34,1.89
38,25.17,25.5,0.0,12.74,0.1,2.84,8.5,16.5,33.5,41.5,25.11,0.81,13.13,12.05,1.92
39,24.17,24.5,0.0,12.73,0.12,2.81,6.5,15.5,32.5,40.5,24.12,0.81,12.44,11.73,1.94
40,23.18,23.5,0.0,12.7,0.13,2.77,5.5,14.5,31.5,39.5,23.12,0.82,11.77,11.41,1.97
41,22.18,22.5,0.0,12.68,0.16,2.73,3.5,13.5,30.5,38.5,22.13,0.82,11.11,11.08,2.0
42,21.19,21.5,0.0,12.64,0.18,2.69,0.5,12.5,29.5,37.5,21.14,0.83,10.46,10.73,2.03
43,20.2,20.5,0.0,12.59,0.21,2.65,0.5,11.5,28.5,36.5,20.14,0.83,9.82,10.38,2.06
44,19.21,19.5,0.0,12.53,0.25,2.62,0.5,10.5,27.5,35.5,19.15,0.83,9.19,10.02,2.09
45,18.22,18.5,0.0,12.46,0.29,2.59,0.5,9.5,26.5,34.5,18.15,0.84,8.56,9.66,2.13
46,17.25,17.5,0.0,12.37,0.34,2.57,0.5,7.5,25.5,33.5,17.19,0.84,7.95,9.29,2.17
47,16.28,16.5,0.0,12.26,0.39,2.56,0.5,6.5,24.5,32.5,16.24,0.82,7.35,8.93,2.21
48,15.33,14.5,0.0,12.14,0.44,2.56,0.5,4.5,23.5,31.5,15.27,0.83,6.77,8.56,2.27
49,14.39,13.5,0.0,11.99,0.51,2.58,0.5,0.5,22.5,30.5,14.33,0.81,6.2,8.19,2.32
50,13.47,12.5,0.0,11.82,0.57,2.61,0.5,0.5,21.5,29.5,13.42,0.8,5.65,7.82,2.38
51,12.58,11.5,0.0,11.63,0.64,2.66,0.5,0.5,20.5,28.5,12.52,0.76,5.13,7.45,2.45
52,11.72,10.5,0.0,11.41,0.72,2.73,0.5,0.5,19.5,27.5,11.65,0.74,4.64,7.08,2.53
53,10.89,9.5,0.0,11.18,0.79,2.83,0.5,0.5,18.5,26.5,10.82,0.74,4.19,6.71,2.6
54,10.1,7.5,0.0,10.92,0.87,2.94,0.5,0.5,17.5,25.5,10.03,0.71,3.77,6.34,2.68
55,9.35,6.5,0.0,10.64,0.96,3.08,0.5,0.5,16.5,24.5,9.28,0.68,3.39,5.97,2.76
56,8.64,4.5,0.0,10.34,1.04,3.25,0.5,0.5,15.5,23.5,8.56,0.63,3.04,5.6,2.84
57,7.98,2.5,0.0,10.03,1.13,3.44,0.5,0.5,14.5,22.5,7.9,0.61,2.74,5.24,2.92
58,7.36,0.5,0.0,9.7,1.22,3.65,0.5,0.5,13.5,21.5,7.29,0.59,2.47,4.89,2.98
59,6.77,0.5,0.0,9.37,1.31,3.89,0.5,0.5,12.5,20.5,6.7,0.56,2.22,4.55,3.04
60,6.22,0.5,0.0,9.03,1.41,4.17,0.5,0.5,11.5,20.5,6.16,0.53,2.01,4.22,3.1
61,5.71,0.5,0.0,8.68,1.5,4.47,0.5,0.5,10.5,19.5,5.65,0.49,1.82,3.9,3.15
62,5.24,0.5,0.0,8.33,1.6,4.8,0.5,0.5,9.5,18.5,5.19,0.47,1.64,3.59,3.19
63,4.79,0.5,0.0,7.98,1.71,5.18,0.5,0.5,8.5,17.5,4.75,0.44,1.48,3.31,3.23
64,4.37,0.5,0.0,7.63,1.81,5.58,0.5,0.5,7.5,16.5,4.33,0.42,1.34,3.03,3.26
65,3.99,0.5,0.0,7.29,1.92,6.04,0.5,0.5,6.5,15.5,3.94,0.38,1.21,2.78,3.29
66,3.63,0.5,0.0,6.94,2.04,6.53,0.5,0.5,4.5,14.5,3.59,0.36,1.09,2.53,3.32
67,3.29,0.5,0.0,6.6,2.16,7.08,0.5,0.5,3.5,13.5,3.25,0.34,0.98,2.31,3.35
68,2.98,0.5,0.0,6.27,2.28,7.68,0.5,0.5,0.5,12.5,2.94,0.31,0.89,2.1,3.37
69,2.7,0.5,0.0,5.94,2.41,8.33,0.5,0.5,0.5,11.5,2.66,0.29,0.8,1.9,3.39
70,2.44,0.5,0.0,5.63,2.54,9.05,0.5,0.5,0.5,10.5,2.41,0.27,0.71,1.72,3.41
71,2.2,0.5,0.0,5.31,2.68,9.82,0.5,0.5,0.5,9.5,2.17,0.24,0.64,1.56,3.43
72,1.98,0.5,0.0,5.01,2.82,10.66,0.5,0.5,0.5,8.5,1.95,0.21,0.57,1.41,3.45
73,1.78,0.5,0.0,4.72,2.96,11.56,0.5,0.5,0.5,7.5,1.76,0.19,0.51,1.27,3.47
74,1.6,0.5,0.0,4.44,3.11,12.54,0.5,0.5,0.5,6.5,1.58,0.17,0.46,1.14,3.49
75,1.43,0.5,0.0,4.17,3.26,13.59,0.5,0.5,0.5,5.5,1.42,0.14,0.41,1.03,3.52
76,1.28,0.5,0.0,3.91,3.41,14.7,0.5,0.5,0.5,4.5,1.27,0.12,0.36,0.92,3.55
77,1.15,0.5,0.0,3.66,3.57,15.89,0.5,0.5,0.5,3.5,1.14,0.09,0.32,0.83,3.57
78,1.03,0.5,0.0,3.42,3.72,17.15,0.5,0.5,0.5,2.5,1.03,0.05,0.29,0.74,3.6
79,0.92,0.5,0.0,3.2,3.88,18.46,0.5,0.5,0.5,0.5,0.92,0.01,0.26,0.67,3.61
80,0.83,0.5,0.0,2.98,4.03,19.83,0.5,0.5,0.5,0.5,0.83,0.01,0.23,0.6,3.61
81,0.75,0.5,0.0,2.78,4.18,21.26,0.5,0.5,0.5,0.5,0.74,0.01,0.21,0.54,3.59
82,0.67,0.5,0.0,2.58,4.33,22.8,0.5,0.5,0.5,0.5,0.67,0.01,0.19,0.48,3.54
83,0.61,0.5,0.0,2.39,4.48,24.45,0.5,0.5,0.5,0.5,0.61,0.01,0.18,0.43,3.44
84,0.55,0.5,0.0,2.21,4.64,26.26,0.5,0.5,0.5,0.5,0.55,0.01,0.17,0.38,3.29
85,0.49,0.5,0.0,2.04,4.81,28.36,0.5,0.5,0.5,0.5,0.49,0.0,0.16,0.34,3.1
86,0.44,0.5,0.0,1.88,5.03,31.01,0.5,0.5,0.5,0.5,0.44,0.0,0.15,0.29,2.94
87,0.38,0.5,0.0,1.72,5.3,34.4,0.5,0.5,0.5,0.5,0.38,0.0,0.13,0.25,2.85
88,0.33,0.5,0.0,1.56,5.62,38.46,0.5,0.5,0.5,0.5,0.33,0.0,0.12,0.21,2.8
