age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,44.91,45.5,46.5,10.63,-0.65,4.28,31.5,39.5,51.5,57.5,44.88,0.23,30.59,14.32,1.47
19,43.92,44.5,45.5,10.6,-0.63,4.23,30.5,38.5,50.5,56.5,43.9,0.23,29.82,14.1,1.47
20,42.93,43.5,44.5,10.57,-0.62,4.19,29.5,37.5,49.5,55.5,42.91,0.23,29.03,13.91,1.48
21,41.95,42.5,43.5,10.55,-0.61,4.14,28.5,36.5,48.5,54.5,41.93,0.23,28.24,13.71,1.49
22,40.97,41.5,42.5,10.52,-0.59,4.09,27.5,35.5,47.5,53.5,40.94,0.23,27.45,13.52,1.49
23,39.98,40.5,41.5,10.49,-0.58,4.05,26.5,34.5,46.5,52.5,39.96,0.23,26.66,13.32,1.5
24,39.0,39.5,40.5,10.46,-0.56,4.0,25.5,33.5,45.5,51.5,38.98,0.23,25.88,13.12,1.51
25,38.02,38.5,39.5,10.43,-0.55,3.96,24.5,32.5,44.5,50.5,37.99,0.23,25.11,12.91,1.51
26,37.03,37.5,38.5,10.4,-0.54,3.92,23.5,31.5,43.5,49.5,37.01,0.23,24.35,12.68,1.52
27,36.05,36.5,37.5,10.37,-0.52,3.88,22.5,30.5,42.5,48.5,36.03,0.23,23.6,12.45,1.53
28,35.07,35.5,36.5,10.34,-0.51,3.84,21.5,29.5,41.5,47.5,35.04,0.23,22.87,12.2,1.53
29,34.08,34.5,35.5,10.32,-0.5,3.8,20.5,28.5,40.5,46.5,34.06,0.23,22.14,11.94,1.54
30,33.1,33.5,34.5,10.29,-0.49,3.76,19.5,27.5,39.5,45.5,33.08,0.23,21.42,11.68,1.55
31,32.11,32.5,33.5,10.27,-0.47,3.71,18.5,26.5,38.5,44.5,32.09,0.23,20.71,11.41,1.55
32,31.13,31.5,32.5,10.25,-0.46,3.67,17.5,25.5,37.5,43.5,31.11,0.23,19.99,11.14,1.56
33,30.14,30.5,31.5,10.23,-0.45,3.62,16.5,24.5,36.5,42.5,30.12,0.23,19.27,10.87,1.56
34,29.15,29.5,30.5,10.22,-0.44,3.57,15.5,23.5,35.5,41.5,29.13,0.23,18.55,10.6,1.57
35,28.16,28.5,29.5,10.2,-0.42,3.51,14.5,22.5,34.5,40.5,28.13,0.23,17.83,10.33,1.58
36,27.16,27.5,28.5,10.19,-0.41,3.45,13.5,21.5,33.5,39.5,27.14,0.23,17.1,10.06,1.59
