age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
20,44.65,45.5,45.5,10.68,-0.53,4.23,31.5,38.5,51.5,57.5,44.63,0.25,31.92,12.73,1.4
21,43.66,44.5,44.5,10.65,-0.52,4.18,30.5,38.5,50.5,56.5,43.65,0.25,30.99,12.68,1.41
22,42.68,43.5,43.5,10.62,-0.5,4.13,29.5,37.5,49.5,55.5,42.66,0.25,30.01,12.67,1.42
23,41.7,42.5,42.5,10.58,-0.48,4.08,28.5,36.5,48.5,54.5,41.68,0.25,29.06,12.63,1.43
24,40.72,41.5,41.5,10.55,-0.47,4.04,27.5,35.5,47.5,53.5,40.7,0.25,28.15,12.57,1.45
25,39.73,40.5,40.5,10.52,-0.45,3.99,26.5,34.5,46.5,52.5,39.72,0.25,27.27,12.47,1.46
26,38.75,39.5,39.5,10.49,-0.44,3.95,25.5,33.5,45.5,51.5,38.73,0.25,26.42,12.33,1.47
27,37.77,38.5,38.5,10.46,-0.42,3.9,24.5,32.5,44.5,50.5,37.75,0.25,25.61,12.16,1.47
28,36.79,37.5,37.5,10.43,-0.41,3.86,23.5,31.5,43.5,49.5,36.77,0.25,24.83,11.96,1.48
29,35.81,36.5,36.5,10.4,-0.39,3.82,22.5,30.5,42.5,48.5,35.79,0.25,24.06,11.75,1.49
30,34.83,35.5,35.5,10.37,-0.38,3.78,21.5,29.5,41.5,47.5,34.81,0.25,23.29,11.54,1.5
31,33.85,34.5,34.5,10.34,-0.37,3.74,20.5,28.5,40.5,46.5,33.83,0.25,22.52,11.33,1.5
32,32.86,33.5,33.5,10.32,-0.36,3.7,19.5,27.5,39.5,45.5,32.85,0.25,21.74,11.12,1.51
33,31.88,32.5,32.5,10.3,-0.34,3.66,18.5,26.5,38.5,44.5,31.86,0.25,20.97,10.91,1.52
34,30.89,31.5,31.5,10.28,-0.33,3.62,17.5,25.5,37.5,43.5,30.88,0.25,20.19,10.71,1.53
35,29.9,30.5,30.5,10.26,-0.32,3.58,16.5,24.5,36.5,42.5,29.89,0.25,19.4,10.5,1.54
36,28.91,29.5,29.5,10.25,-0.31,3.53,15.5,23.5,35.5,41.5,28.9,0.26,18.62,10.29,1.55
37,27.92,28.5,28.5,10.24,-0.3,3.48,14.5,22.5,34.5,40.5,27.91,0.25,17.84,10.08,1.56
38,26.93,27.5,27.5,10.23,-0.28,3.42,13.5,21.5,33.5,39.5,26.91,0.26,17.06,9.86,1.58
39,25.93,26.5,26.5,10.22,-0.27,3.36,12.5,20.5,32.5,38.5,25.91,0.26,16.28,9.65,1.59
40,24.93,25.5,25.5,10.22,-0.25,3.3,11.5,19.5,31.5,37.5,24.91,0.27,15.48,9.44,1.61
41,23.92,24.5,24.5,10.22,-0.24,3.23,10.5,18.5,30.5,36.5,23.9,0.27,14.68,9.24,1.63
42,22.91,23.5,0.0,10.22,-0.21,3.15,9.5,17.5,29.5,35.5,22.89,0.28,13.88,9.03,1.65
43,21.89,22.5,0.0,10.22,-0.19,3.06,8.5,16.5,28.5,34.5,21.88,0.28,13.08,8.81,1.67
44,20.87,21.5,0.0,10.21,-0.16,2.98,6.5,15.5,27.5,33.5,20.86,0.28,12.31,8.56,1.7
45,19.86,20.5,0.0,10.19,-0.12,2.89,4.5,14.5,26.5,32.5,19.84,0.29,11.57,8.29,1.72
46,18.84,19.5,0.0,10.16,-0.08,2.8,0.5,12.5,25.5,31.5,18.82,0.29,10.84,8.0,1.74
47,17.82,18.5,0.0,10.12,-0.03,2.72,0.5,11.5,24.5,30.5,17.8,0.29,10.13,7.69,1.76
