age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
21,44.76,44.5,43.5,10.05,-0.59,4.58,32.5,39.5,51.5,56.5,44.75,0.35,34.08,10.67,1.31
22,43.77,43.5,42.5,10.01,-0.57,4.5,31.5,38.5,50.5,55.5,43.77,0.34,33.22,10.55,1.32
23,42.79,42.5,41.5,9.97,-0.55,4.42,30.5,37.5,49.5,54.5,42.79,0.34,32.36,10.43,1.32
24,41.81,41.5,40.5,9.93,-0.52,4.33,29.5,36.5,48.5,53.5,41.81,0.34,31.51,10.31,1.33
25,40.83,40.5,39.5,9.89,-0.5,4.26,28.5,35.5,47.5,52.5,40.83,0.34,30.65,10.18,1.33
26,39.85,39.5,38.5,9.85,-0.48,4.18,28.5,34.5,46.5,51.5,39.85,0.34,29.8,10.06,1.34
27,38.87,38.5,37.5,9.82,-0.46,4.12,27.5,33.5,45.5,50.5,38.87,0.35,28.94,9.94,1.34
28,37.89,37.5,36.5,9.78,-0.44,4.05,26.5,32.5,44.5,49.5,37.89,0.34,28.08,9.82,1.35
29,36.92,36.5,35.5,9.74,-0.42,3.99,25.5,31.5,43.5,48.5,36.91,0.34,27.21,9.71,1.36
30,35.94,36.5,34.5,9.71,-0.4,3.94,24.5,30.5,42.5,47.5,35.93,0.34,26.33,9.61,1.37
31,34.96,35.5,33.5,9.67,-0.38,3.89,23.5,29.5,41.5,46.5,34.95,0.34,25.44,9.52,1.37
32,33.98,34.5,32.5,9.64,-0.36,3.84,22.5,28.5,40.5,45.5,33.97,0.34,24.54,9.43,1.38
33,32.99,33.5,31.5,9.62,-0.35,3.8,21.5,27.5,39.5,44.5,32.99,0.35,23.65,9.35,1.4
34,32.01,32.5,30.5,9.59,-0.34,3.76,20.5,26.5,38.5,43.5,32.01,0.35,22.75,9.26,1.41
35,31.03,31.5,29.5,9.57,-0.33,3.73,19.5,25.5,37.5,42.5,31.02,0.35,21.85,9.18,1.42
36,30.04,30.5,28.5,9.56,-0.32,3.69,18.5,24.5,36.5,41.5,30.04,0.35,20.95,9.09,1.43
37,29.05,29.5,27.5,9.54,-0.31,3.65,17.5,23.5,35.5,40.5,29.05,0.35,20.05,9.0,1.45
38,28.06,28.5,26.5,9.54,-0.3,3.61,16.5,22.5,34.5,40.5,28.06,0.35,19.15,8.91,1.47
39,27.07,27.5,25.5,9.53,-0.29,3.56,15.5,21.5,33.5,39.5,27.06,0.36,18.26,8.81,1.48
40,26.07,26.5,24.5,9.53,-0.28,3.51,14.5,20.5,32.5,38.5,26.06,0.36,17.37,8.7,1.5
41,25.07,25.5,23.5,9.53,-0.27,3.44,13.5,19.5,31.5,37.5,25.07,0.36,16.48,8.59,1.52
42,24.06,24.5,22.5,9.54,-0.25,3.37,12.5,18.5,30.5,36.5,24.05,0.36,15.6,8.46,1.54
43,23.05,23.5,21.5,9.55,-0.24,3.29,11.5,17.5,29.5,35.5,23.04,0.36,14.73,8.32,1.56
44,22.03,22.5,0.0,9.55,-0.21,3.2,9.5,16.5,28.5,34.5,22.03,0.37,13.87,8.16,1.59
45,21.01,21.5,0.0,9.56,-0.19,3.1,8.5,15.5,27.5,33.5,21.01,0.37,13.02,7.99,1.61
46,19.99,20.5,0.0,9.56,-0.16,3.0,7.5,14.5,26.5,32.5,19.99,0.38,12.19,7.8,1.64
47,18.96,19.5,0.0,9.55,-0.12,2.9,5.5,13.5,25.5,31.5,18.96,0.38,11.38,7.59,1.67
48,17.94,18.5,0.0,9.54,-0.08,2.79,2.5,12.5,24.5,30.5,17.93,0.38,10.58,7.36,1.7
49,16.91,17.5,0.0,9.51,-0.03,2.7,0.5,11.5,23.5,29.5,16.9,0.38,9.79,7.12,1.73
50,15.88,16.5,0.0,9.47,0.03,2.61,0.5,10.5,22.5,28.5,15.87,0.38,9.02,6.86,1.76
51,14.86,14.5,0.0,9.41,0.09,2.53,0.5,8.5,21.5,27.5,14.86,0.38,8.28,6.58,1.8
52,13.84,13.5,0.0,9.34,0.16,2.46,0.5,7.5,20.5,26.5,13.85,0.4,7.55,6.29,1.83
53,12.84,12.5,0.0,9.24,0.24,2.42,0.5,5.5,19.5,25.5,12.83,0.41,6.85,5.99,1.87
