age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
22,44.62,45.5,43.5,9.65,-0.74,5.0,33.5,39.5,50.5,55.5,44.61,0.23,35.52,9.1,1.26
23,43.64,44.5,42.5,9.61,-0.71,4.91,32.5,38.5,49.5,54.5,43.63,0.23,34.47,9.17,1.27
24,42.66,43.5,41.5,9.57,-0.69,4.83,31.5,37.5,48.5,53.5,42.65,0.23,33.36,9.3,1.28
25,41.68,42.5,40.5,9.54,-0.67,4.76,30.5,36.5,47.5,52.5,41.67,0.23,32.23,9.46,1.29
26,40.7,41.5,39.5,9.5,-0.65,4.7,29.5,35.5,46.5,51.5,40.68,0.23,31.06,9.64,1.31
27,39.72,40.5,38.5,9.47,-0.63,4.65,28.5,34.5,45.5,50.5,39.7,0.23,29.89,9.83,1.33
28,38.74,39.5,37.5,9.44,-0.62,4.6,27.5,33.5,44.5,49.5,38.72,0.23,28.72,10.01,1.35
29,37.75,38.5,36.5,9.41,-0.6,4.55,26.5,32.5,43.5,48.5,37.74,0.23,27.6,10.16,1.37
30,36.77,37.5,35.5,9.38,-0.58,4.5,25.5,31.5,42.5,47.5,36.76,0.23,26.54,10.23,1.39
31,35.79,36.5,34.5,9.35,-0.57,4.44,24.5,30.5,41.5,46.5,35.77,0.23,25.55,10.24,1.4
32,34.81,35.5,33.5,9.32,-0.55,4.37,23.5,29.5,40.5,45.5,34.79,0.23,24.61,10.2,1.41
33,33.83,34.5,32.5,9.29,-0.53,4.3,22.5,28.5,39.5,44.5,33.81,0.23,23.72,10.11,1.43
34,32.85,33.5,31.5,9.25,-0.51,4.23,21.5,27.5,38.5,43.5,32.83,0.23,22.86,9.99,1.44
35,31.87,32.5,30.5,9.22,-0.49,4.16,20.5,26.5,37.5,42.5,31.85,0.23,22.02,9.84,1.45
36,30.89,31.5,29.5,9.19,-0.47,4.08,19.5,25.5,36.5,41.5,30.87,0.23,21.2,9.69,1.46
37,29.91,30.5,28.5,9.16,-0.44,4.0,19.5,24.5,35.5,40.5,29.89,0.23,20.38,9.52,1.47
38,28.93,29.5,27.5,9.12,-0.42,3.93,18.5,23.5,34.5,39.5,28.91,0.23,19.57,9.36,1.48
39,27.94,28.5,26.5,9.09,-0.4,3.85,17.5,22.5,33.5,38.5,27.93,0.23,18.76,9.18,1.49
40,26.96,27.5,25.5,9.07,-0.38,3.77,16.5,21.5,32.5,37.5,26.95,0.23,17.97,8.99,1.5
41,25.98,26.5,24.5,9.04,-0.35,3.68,15.5,20.5,31.5,36.5,25.96,0.23,17.2,8.78,1.51
42,25.0,25.5,23.5,9.01,-0.33,3.6,14.5,19.5,30.5,35.5,24.98,0.24,16.43,8.57,1.52
43,24.01,24.5,22.5,8.99,-0.31,3.51,13.5,18.5,29.5,34.5,23.99,0.24,15.66,8.35,1.53
44,23.02,23.5,21.5,8.97,-0.28,3.42,12.5,17.5,28.5,33.5,23.0,0.24,14.87,8.15,1.55
45,22.02,22.5,20.5,8.95,-0.26,3.33,11.5,16.5,27.5,32.5,22.01,0.24,14.07,7.95,1.57
46,21.02,21.5,20.5,8.94,-0.23,3.24,9.5,15.5,26.5,31.5,21.01,0.25,13.27,7.75,1.58
47,20.02,20.5,0.0,8.93,-0.2,3.14,8.5,14.5,25.5,30.5,20.0,0.25,12.48,7.54,1.6
48,19.01,19.5,0.0,8.92,-0.17,3.04,7.5,13.5,24.5,29.5,18.99,0.26,11.68,7.32,1.63
49,17.99,18.5,0.0,8.91,-0.13,2.93,5.5,12.5,23.5,28.5,17.97,0.27,10.88,7.11,1.65
50,16.96,17.5,0.0,8.9,-0.09,2.82,3.5,11.5,22.5,27.5,16.95,0.27,10.07,6.89,1.68
51,15.93,16.5,0.0,8.89,-0.04,2.72,0.5,10.5,21.5,26.5,15.92,0.27,9.25,6.68,1.72
52,14.89,15.5,0.0,8.87,0.02,2.61,0.5,9.5,20.5,25.5,14.89,0.28,8.43,6.46,1.77
53,13.85,14.5,0.0,8.84,0.08,2.52,0.5,7.5,20.5,25.5,13.84,0.28,7.61,6.23,1.82
54,12.81,13.5,0.0,8.78,0.15,2.45,0.5,6.5,19.5,24.5,12.81,0.29,6.82,5.99,1.88
55,11.79,12.5,0.0,8.69,0.23,2.4,0.5,4.5,18.5,23.5,11.79,0.29,6.07,5.72,1.94
56,10.79,10.5,0.0,8.57,0.33,2.38,0.5,0.5,17.5,22.5,10.79,0.3,5.36,5.44,2.02
57,9.83,9.5,0.0,8.41,0.42,2.4,0.5,0.5,15.5,21.5,9.82,0.3,4.7,5.13,2.09
58,8.91,8.5,0.0,8.21,0.53,2.46,0.5,0.5,14.5,20.5,8.9,0.3,4.11,4.8,2.17
59,8.03,7.5,0.0,7.97,0.64,2.57,0.5,0.5,13.5,19.5,8.03,0.3,3.58,4.46,2.25
60,7.21,5.5,0.0,7.7,0.76,2.73,0.5,0.5,12.5,18.5,7.2,0.29,3.1,4.11,2.33
61,6.44,3.5,0.0,7.4,0.89,2.94,0.5,0.5,11.5,17.5,6.43,0.28,2.67,3.77,2.41
62,5.73,0.5,0.0,7.08,1.02,3.21,0.5,0.5,10.5,16.5,5.71,0.28,2.29,3.44,2.5
63,5.09,0.5,0.0,6.73,1.16,3.55,0.5,0.5,9.5,15.5,5.08,0.26,1.97,3.12,2.58
64,4.52,0.5,0.0,6.36,1.3,3.96,0.5,0.5,8.5,14.5,4.51,0.24,1.72,2.79,2.62
65,4.0,0.5,0.0,5.99,1.44,4.45,0.5,0.5,7.5,13.5,3.99,0.23,1.52,2.48,2.63
66,3.52,0.5,0.0,5.62,1.6,5.04,0.5,0.5,6.5,12.5,3.51,0.21,1.34,2.18,2.63
67,3.08,0.5,0.0,5.25,1.78,5.76,0.5,0.5,5.5,11.5,3.07,0.2,1.18,1.9,2.62
68,2.67,0.5,0.0,4.88,1.97,6.63,0.5,0.5,4.5,10.5,2.67,0.19,1.02,1.65,2.61
69,2.29,0.5,0.0,4.52,2.19,7.72,0.5,0.5,2.5,9.5,2.29,0.17,0.88,1.41,2.61
70,1.94,0.5,0.0,4.16,2.43,9.06,0.5,0.5,0.5,8.5,1.95,0.15,0.74,1.2,2.62
71,1.63,0.5,0.0,3.82,2.71,10.71,0.5,0.5,0.5,7.5,1.64,0.13,0.62,1.02,2.65
72,1.36,0.5,0.0,3.49,3.01,12.74,0.5,0.5,0.5,6.5,1.37,0.12,0.51,0.86,2.7
73,1.13,0.5,0.0,3.17,3.34,15.2,0.5,0.5,0.5,5.5,1.13,0.1,0.41,0.72,2.75
74,0.93,0.5,0.0,2.88,3.7,18.13,0.5,0.5,0.5,3.5,0.94,0.08,0.33,0.6,2.81
75,0.77,0.5,0.0,2.6,4.08,21.57,0.5,0.5,0.5,2.5,0.77,0.07,0.27,0.5,2.83
76,0.64,0.5,0.0,2.35,4.48,25.63,0.5,0.5,0.5,0.5,0.64,0.05,0.23,0.41,2.82
77,0.52,0.5,0.0,2.11,4.94,30.58,0.5,0.5,0.5,0.5,0.52,0.04,0.19,0.34,2.82
78,0.42,0.5,0.0,1.89,5.46,36.75,0.5,0.5,0.5,0.5,0.42,0.02,0.14,0.28,2.92
79,0.34,0.5,0.0,1.69,6.02,44.05,0.5,0.5,0.5,0.5,0.34,0.0,0.11,0.23,3.1
80,0.28,0.5,0.0,1.52,6.55,51.81,0.5,0.5,0.5,0.5,0.28,0.0,0.09,0.19,3.22
81,0.23,0.5,0.0,1.36,7.04,59.91,0.5,0.5,0.5,0.5,0.23,0.0,0.07,0.16,3.16
82,0.2,0.5,0.0,1.22,7.58,69.63,0.5,0.5,0.5,0.5,0.2,0.0,0.07,0.13,3.02
83,0.16,0.5,0.0,1.08,8.24,82.37,0.5,0.5,0.5,0.5,0.16,0.0,0.06,0.11,2.9
84,0.13,0.5,0.0,0.96,9.05,99.21,0.5,0.5,0.5,0.5,0.13,0.0,0.05,0.09,2.83
85,0.1,0.5,0.0,0.84,10.02,121.01,0.5,0.5,0.5,0.5,0.1,0.0,0.04,0.07,2.82
86,0.08,0.5,0.0,0.74,11.1,147.97,0.5,0.5,0.5,0.5,0.08,0.0,0.03,0.05,2.85
