age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
25,42.26,42.5,42.5,9.12,-0.65,5.14,32.5,37.5,47.5,53.5,42.24,0.26,34.38,7.88,1.23
26,41.28,41.5,41.5,9.07,-0.62,5.03,31.5,36.5,46.5,52.5,41.26,0.26,33.34,7.94,1.24
27,40.3,40.5,40.5,9.03,-0.59,4.92,30.5,35.5,45.5,51.5,40.28,0.26,32.27,8.03,1.25
28,39.32,39.5,39.5,8.98,-0.56,4.82,29.5,34.5,44.5,50.5,39.31,0.26,31.2,8.12,1.26
29,38.34,38.5,38.5,8.94,-0.53,4.73,28.5,33.5,43.5,49.5,38.33,0.26,30.14,8.21,1.27
30,37.37,37.5,37.5,8.9,-0.5,4.64,27.5,32.5,42.5,48.5,37.35,0.26,29.08,8.29,1.29
31,36.39,36.5,36.5,8.85,-0.47,4.56,26.5,31.5,41.5,47.5,36.37,0.26,28.03,8.36,1.3
32,35.41,35.5,35.5,8.81,-0.45,4.48,25.5,30.5,40.5,46.5,35.4,0.26,26.99,8.42,1.31
33,34.44,34.5,34.5,8.77,-0.42,4.4,24.5,29.5,39.5,45.5,34.42,0.26,25.98,8.46,1.33
34,33.46,33.5,33.5,8.73,-0.39,4.32,23.5,28.5,38.5,44.5,33.44,0.26,24.99,8.47,1.34
35,32.48,32.5,32.5,8.69,-0.36,4.24,22.5,27.5,37.5,43.5,32.47,0.26,24.04,8.45,1.35
36,31.51,31.5,31.5,8.64,-0.34,4.16,21.5,26.5,36.5,42.5,31.49,0.26,23.12,8.39,1.36
37,30.54,30.5,30.5,8.6,-0.31,4.08,20.5,25.5,35.5,41.5,30.52,0.26,22.24,8.3,1.37
38,29.56,29.5,29.5,8.55,-0.28,4.0,19.5,24.5,34.5,40.5,29.55,0.26,21.38,8.19,1.38
39,28.59,28.5,28.5,8.51,-0.25,3.92,18.5,23.5,33.5,39.5,28.57,0.26,20.53,8.07,1.39
40,27.62,27.5,27.5,8.47,-0.22,3.85,17.5,22.5,32.5,38.5,27.6,0.27,19.68,7.94,1.4
41,26.65,26.5,26.5,8.43,-0.19,3.77,16.5,21.5,31.5,37.5,26.63,0.27,18.83,7.81,1.41
42,25.67,25.5,25.5,8.39,-0.17,3.71,15.5,20.5,30.5,36.5,25.66,0.27,17.98,7.69,1.43
43,24.7,24.5,24.5,8.35,-0.14,3.64,14.5,19.5,29.5,35.5,24.68,0.27,17.13,7.57,1.44
44,23.72,23.5,23.5,8.32,-0.12,3.58,13.5,18.5,28.5,34.5,23.7,0.27,16.27,7.45,1.46
45,22.74,22.5,22.5,8.3,-0.1,3.51,12.5,17.5,27.5,33.5,22.73,0.27,15.4,7.34,1.48
46,21.76,21.5,21.5,8.28,-0.08,3.44,11.5,16.5,27.5,32.5,21.74,0.27,14.53,7.23,1.5
47,20.77,20.5,20.5,8.27,-0.06,3.37,10.5,15.5,26.5,31.5,20.76,0.28,13.66,7.12,1.52
48,19.78,19.5,19.5,8.26,-0.04,3.3,9.5,14.5,25.5,30.5,19.76,0.28,12.78,7.0,1.55
49,18.78,18.5,18.5,8.25,-0.02,3.22,8.5,13.5,24.5,29.5,18.77,0.28,11.92,6.87,1.58
50,17.78,17.5,17.5,8.25,0.01,3.13,7.5,12.5,23.5,28.5,17.76,0.3,11.06,6.73,1.61
51,16.77,16.5,0.0,8.25,0.04,3.04,6.5,11.5,22.5,27.5,16.75,0.3,10.2,6.57,1.64
52,15.76,15.5,0.0,8.25,0.07,2.95,4.5,10.5,21.5,26.5,15.74,0.3,9.36,6.4,1.68
53,14.74,14.5,0.0,8.24,0.11,2.85,1.5,9.5,20.5,25.5,14.72,0.3,8.52,6.21,1.73
54,13.71,13.5,0.0,8.23,0.16,2.76,0.5,8.5,19.5,24.5,13.68,0.32,7.7,6.01,1.78
55,12.68,12.5,0.0,8.2,0.22,2.68,0.5,7.5,18.5,23.5,12.64,0.32,6.9,5.78,1.84
56,11.65,11.5,0.0,8.16,0.29,2.61,0.5,5.5,17.5,22.5,11.61,0.32,6.11,5.54,1.91
