age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
26,43.79,43.5,43.5,10.51,-0.47,4.27,31.5,38.5,50.5,57.5,43.9,0.57,36.07,7.72,1.21
27,42.82,42.5,42.5,10.47,-0.45,4.19,30.5,37.5,49.5,56.5,42.93,0.58,35.06,7.76,1.22
28,41.84,41.5,41.5,10.42,-0.42,4.12,29.5,36.5,48.5,55.5,41.95,0.58,34.04,7.8,1.23
29,40.86,40.5,40.5,10.38,-0.4,4.05,28.5,35.5,47.5,54.5,40.97,0.58,33.02,7.84,1.24
30,39.89,39.5,39.5,10.34,-0.38,3.99,27.5,34.5,46.5,53.5,40.0,0.58,32.0,7.88,1.25
31,38.91,38.5,38.5,10.29,-0.36,3.93,26.5,33.5,45.5,52.5,39.02,0.58,30.99,7.93,1.26
32,37.94,37.5,37.5,10.25,-0.34,3.88,25.5,32.5,44.5,51.5,38.05,0.58,29.97,7.97,1.27
33,36.96,36.5,36.5,10.22,-0.32,3.83,25.5,31.5,43.5,50.5,37.07,0.58,28.95,8.01,1.28
34,35.98,35.5,35.5,10.18,-0.3,3.79,24.5,30.5,42.5,49.5,36.09,0.58,27.92,8.06,1.29
35,35.0,34.5,34.5,10.15,-0.29,3.75,23.5,29.5,41.5,48.5,35.12,0.58,26.89,8.12,1.3
36,34.02,33.5,33.5,10.13,-0.27,3.72,22.5,28.5,40.5,47.5,34.14,0.59,25.85,8.18,1.32
37,33.04,32.5,32.5,10.1,-0.26,3.69,21.5,27.5,39.5,46.5,33.15,0.59,24.8,8.24,1.33
38,32.06,31.5,31.5,10.09,-0.25,3.66,20.5,26.5,38.5,45.5,32.17,0.59,23.75,8.31,1.35
39,31.07,30.5,30.5,10.08,-0.25,3.63,19.5,25.5,37.5,44.5,31.19,0.6,22.7,8.37,1.37
40,30.08,29.5,29.5,10.07,-0.24,3.6,18.5,24.5,36.5,43.5,30.2,0.6,21.66,8.43,1.39
41,29.09,28.5,28.5,10.07,-0.24,3.56,17.5,23.5,35.5,42.5,29.21,0.62,20.62,8.47,1.41
42,28.09,28.5,27.5,10.08,-0.23,3.51,16.5,22.5,34.5,41.5,28.21,0.62,19.59,8.5,1.43
43,27.09,27.5,26.5,10.09,-0.22,3.46,15.5,21.5,33.5,40.5,27.23,0.63,18.57,8.52,1.46
44,26.09,26.5,25.5,10.1,-0.22,3.4,14.5,20.5,32.5,39.5,26.22,0.64,17.58,8.51,1.48
45,25.08,25.5,24.5,10.11,-0.2,3.33,13.5,19.5,31.5,38.5,25.22,0.65,16.59,8.49,1.51
46,24.06,24.5,23.5,10.13,-0.19,3.24,11.5,18.5,30.5,37.5,24.21,0.65,15.61,8.45,1.54
47,23.05,23.5,0.0,10.14,-0.17,3.16,10.5,17.5,29.5,36.5,23.2,0.67,14.65,8.39,1.57
48,22.03,22.5,0.0,10.15,-0.15,3.06,9.5,16.5,28.5,35.5,22.19,0.68,13.71,8.32,1.61
49,21.01,21.5,0.0,10.15,-0.12,2.97,7.5,15.5,27.5,34.5,21.19,0.7,12.79,8.21,1.64
50,19.99,20.5,0.0,10.14,-0.08,2.87,5.5,14.5,26.5,33.5,20.16,0.7,11.91,8.08,1.68
51,18.98,19.5,0.0,10.12,-0.04,2.78,2.5,13.5,25.5,32.5,19.16,0.7,11.05,7.92,1.72
52,17.97,18.5,0.0,10.09,0.0,2.69,0.5,12.5,24.5,31.5,18.15,0.71,10.23,7.74,1.76
53,16.96,17.5,0.0,10.05,0.05,2.61,0.5,10.5,23.5,30.5,17.13,0.72,9.44,7.53,1.8
54,15.97,16.5,0.0,9.98,0.11,2.54,0.5,9.5,22.5,29.5,16.13,0.72,8.68,7.29,1.84
55,14.99,15.5,0.0,9.9,0.17,2.48,0.5,8.5,21.5,28.5,15.14,0.73,7.97,7.02,1.88
56,14.02,14.5,0.0,9.79,0.23,2.44,0.5,7.5,20.5,27.5,14.16,0.76,7.3,6.73,1.92
57,13.08,12.5,0.0,9.66,0.3,2.42,0.5,5.5,19.5,26.5,13.2,0.75,6.67,6.41,1.96
58,12.15,11.5,0.0,9.51,0.38,2.41,0.5,3.5,18.5,25.5,12.27,0.76,6.08,6.07,2.0
59,11.24,10.5,0.0,9.34,0.46,2.43,0.5,0.5,17.5,24.5,11.37,0.76,5.53,5.71,2.03
60,10.36,9.5,0.0,9.15,0.54,2.48,0.5,0.5,16.5,23.5,10.47,0.74,5.02,5.35,2.07
61,9.51,8.5,0.0,8.93,0.63,2.55,0.5,0.5,15.5,22.5,9.63,0.71,4.54,4.97,2.1
62,8.69,7.5,0.0,8.69,0.73,2.64,0.5,0.5,14.5,21.5,8.82,0.7,4.09,4.6,2.12
63,7.89,6.5,0.0,8.43,0.83,2.78,0.5,0.5,13.5,20.5,8.01,0.69,3.67,4.23,2.15
64,7.13,4.5,0.0,8.15,0.94,2.95,0.5,0.5,12.5,19.5,7.24,0.65,3.27,3.87,2.18
65,6.41,2.5,0.0,7.85,1.05,3.16,0.5,0.5,11.5,18.5,6.5,0.63,2.89,3.52,2.22
66,5.73,0.5,0.0,7.53,1.17,3.43,0.5,0.5,10.5,17.5,5.8,0.61,2.54,3.19,2.26
67,5.09,0.5,0.0,7.2,1.3,3.75,0.5,0.5,9.5,16.5,5.16,0.56,2.21,2.88,2.31
68,4.5,0.5,0.0,6.85,1.44,4.14,0.5,0.5,8.5,15.5,4.55,0.54,1.9,2.59,2.36
69,3.96,0.5,0.0,6.49,1.58,4.59,0.5,0.5,6.5,14.5,4.02,0.48,1.63,2.33,2.42
70,3.48,0.5,0.0,6.13,1.73,5.1,0.5,0.5,5.5,13.5,3.52,0.46,1.4,2.09,2.49
71,3.06,0.5,0.0,5.76,1.88,5.69,0.5,0.5,3.5,12.5,3.07,0.43,1.2,1.86,2.56
72,2.7,0.5,0.0,5.4,2.03,6.33,0.5,0.5,1.5,11.5,2.71,0.38,1.03,1.66,2.61
73,2.38,0.5,0.0,5.05,2.18,7.04,0.5,0.5,0.5,10.5,2.38,0.33,0.9,1.48,2.65
74,2.1,0.5,0.0,4.71,2.33,7.82,0.5,0.5,0.5,9.5,2.1,0.3,0.79,1.31,2.67
75,1.85,0.5,0.0,4.38,2.49,8.69,0.5,0.5,0.5,8.5,1.85,0.25,0.7,1.16,2.66
76,1.64,0.5,0.0,4.06,2.65,9.66,0.5,0.5,0.5,8.5,1.65,0.21,0.62,1.01,2.62
77,1.44,0.5,0.0,3.75,2.82,10.79,0.5,0.5,0.5,7.5,1.46,0.16,0.56,0.88,2.57
78,1.26,0.5,0.0,3.45,3.01,12.12,0.5,0.5,0.5,6.5,1.27,0.11,0.5,0.76,2.51
79,1.1,0.5,0.0,3.16,3.23,13.73,0.5,0.5,0.5,5.5,1.09,0.01,0.45,0.65,2.44
80,0.95,0.5,0.0,2.88,3.47,15.7,0.5,0.5,0.5,4.5,0.94,0.01,0.4,0.55,2.37
81,0.8,0.5,0.0,2.62,3.76,18.17,0.5,0.5,0.5,2.5,0.8,0.01,0.35,0.46,2.31
82,0.67,0.5,0.0,2.36,4.1,21.32,0.5,0.5,0.5,0.5,0.67,0.01,0.3,0.38,2.25
83,0.56,0.5,0.0,2.12,4.5,25.38,0.5,0.5,0.5,0.5,0.55,0.01,0.25,0.31,2.21
84,0.45,0.5,0.0,1.89,4.99,30.71,0.5,0.5,0.5,0.5,0.45,0.01,0.2,0.25,2.21
85,0.36,0.5,0.0,1.67,5.56,37.52,0.5,0.5,0.5,0.5,0.36,0.0,0.16,0.2,2.25
86,0.29,0.5,0.0,1.48,6.16,45.54,0.5,0.5,0.5,0.5,0.29,0.0,0.12,0.16,2.31
87,0.23,0.5,0.0,1.32,6.74,54.19,0.5,0.5,0.5,0.5,0.23,0.0,0.1,0.13,2.32
88,0.19,0.5,0.0,1.17,7.32,63.76,0.5,0.5,0.5,0.5,0.19,0.0,0.08,0.11,2.3
89,0.16,0.5,0.0,1.04,7.96,75.19,0.5,0.5,0.5,0.5,0.16,0.0,0.07,0.09,2.27
90,0.13,0.5,0.0,0.92,8.67,88.88,0.5,0.5,0.5,0.5,0.13,0.0,0.06,0.07,2.25
