indicator,n_forecasters,Q4_25_to_Q1_26,Q1_26_to_Q2_26,Q2_26_to_Q3_26,Q3_26_to_Q4_26,Q4_26_to_Q1_27,2025_to_2026,2026_to_2027,2027_to_2028,2028_to_2029
GROSS DOMESTIC PRODUCT (GDP),33,5.5,4.6,4.7,5.0,4.5,5.4,4.4,,
GDP PRICE INDEX,34,2.7,2.5,2.7,2.6,2.4,2.9,2.4,,
CORPORATE PROFITS AFTER TAXES,13,7.2,0.8,3.5,2.4,2.5,6.9,3.5,,
UNEMPLOYMENT RATE **,36,-0.1,0.1,0.0,-0.0,-0.0,0.2,-0.1,-0.0,-0.0
NONFARM PAYROLL EMPLOYMENT (PERCENT CHANGE),27,0.6,0.5,0.6,0.6,0.6,0.4,0.7,,
NONFARM PAYROLL EMPLOYMENT (AVG MONTHLY CHANGE),27,83.0,67.1,74.9,75.1,80.0,48.5,87.2,,
INDUSTRIAL PRODUCTION,27,2.0,1.4,1.3,1.6,1.0,1.2,1.2,,
NEW PRIVATE HOUSING STARTS,27,-0.2,1.9,1.7,2.5,1.6,-1.3,3.5,,
3-MONTH TREASURY BILL RATE,33,-0.08,-0.10,-0.16,-0.22,-0.07,-0.63,-0.44,-0.06,0.05
MOODY'S AAA CORP BOND YIELD *,16,,-0.05,-0.06,-0.03,-0.05,,-0.16,,
MOODY'S BAA CORP BOND YIELD *,15,,0.04,-0.04,-0.05,0.02,,-0.03,,
10-YEAR TREASURY BOND YIELD,34,0.00,-0.01,-0.06,-0.03,-0.03,-0.22,-0.08,-0.05,0.05
REAL GDP,36,2.6,2.1,2.3,2.0,2.2,2.5,2.1,2.1,1.9
TOTAL CONSUMPTION EXPENDITURE,30,1.9,2.2,1.8,2.0,2.0,2.3,2.0,,
NONRESIDENTIAL FIXED INVESTMENT,28,3.1,3.6,3.9,3.2,3.6,3.7,3.4,,
RESIDENTIAL FIXED INVESTMENT,27,-0.9,1.4,1.4,2.0,1.1,-1.2,1.8,,
FEDERAL GOVERNMENT C & I,28,13.8,0.1,1.4,1.1,1.2,-0.1,1.4,,
STATE AND LOCAL GOVT C & I,28,1.3,0.9,1.4,1.0,1.1,1.6,1.2,,
CHANGE IN PRIVATE INVENTORIES,25,24.2,6.5,6.5,4.0,2.8,-8.5,26.1,,
NET EXPORTS,27,-6.9,-10.7,-15.3,-13.2,2.6,109.9,-44.4,,
