horizon,index,statistic,value
2026-2030,cpi,MINIMUM,2.02
2026-2030,pce,MINIMUM,1.82
2026-2030,cpi,LOWER QUARTILE,2.30
2026-2030,pce,LOWER QUARTILE,2.17
2026-2030,cpi,MEDIAN,2.40
2026-2030,pce,MEDIAN,2.20
2026-2030,cpi,UPPER QUARTILE,2.55
2026-2030,pce,UPPER QUARTILE,2.30
2026-2030,cpi,MAXIMUM,3.50
2026-2030,pce,MAXIMUM,3.30
2026-2030,cpi,MEAN,2.44
2026-2030,pce,MEAN,2.29
2026-2030,cpi,STD. DEVIATION,0.27
2026-2030,pce,STD. DEVIATION,0.26
2026-2030,cpi,N,27
2026-2030,pce,N,28
2026-2030,cpi,MISSING,10
2026-2030,pce,MISSING,9
2031-2035,cpi,MINIMUM,1.68
2031-2035,pce,MINIMUM,1.50
2031-2035,cpi,LOWER QUARTILE,2.04
2031-2035,pce,LOWER QUARTILE,1.90
2031-2035,cpi,MEDIAN,2.20
2031-2035,pce,MEDIAN,2.10
2031-2035,cpi,UPPER QUARTILE,2.47
2031-2035,pce,UPPER QUARTILE,2.20
2031-2035,cpi,MAXIMUM,2.70
2031-2035,pce,MAXIMUM,2.70
2031-2035,cpi,MEAN,2.24
2031-2035,pce,MEAN,2.05
2031-2035,cpi,STD. DEVIATION,0.25
2031-2035,pce,STD. DEVIATION,0.23
2031-2035,cpi,N,27
2031-2035,pce,N,28
2031-2035,cpi,MISSING,10
2031-2035,pce,MISSING,9
2026-2035,cpi,MINIMUM,2.02
2026-2035,pce,MINIMUM,1.83
2026-2035,cpi,LOWER QUARTILE,2.20
2026-2035,pce,LOWER QUARTILE,2.00
2026-2035,cpi,MEDIAN,2.30
2026-2035,pce,MEDIAN,2.20
2026-2035,cpi,UPPER QUARTILE,2.50
2026-2035,pce,UPPER QUARTILE,2.20
2026-2035,cpi,MAXIMUM,3.10
2026-2035,pce,MAXIMUM,3.00
2026-2035,cpi,MEAN,2.34
2026-2035,pce,MEAN,2.17
2026-2035,cpi,STD. DEVIATION,0.22
2026-2035,pce,STD. DEVIATION,0.22
2026-2035,cpi,N,27
2026-2035,pce,N,28
2026-2035,cpi,MISSING,10
2026-2035,pce,MISSING,9
